Date,Open,High,Low,Close,Volume
2026-04-28,657.41,659.64,653.81,657.55,34147900
2026-04-29,658.63,661.72,656.59,661.57,31724900
2026-04-30,665.35,668.9,657.56,667.74,40622200
2026-05-01,669.16,675.97,668.8,674.15,39172600
2026-05-04,674.66,676.73,668.9,672.88,34542000
2026-05-05,677.96,682.77,677.51,681.61,37101100
2026-05-06,687.78,695.93,686.48,695.77,38778500
2026-05-07,696.58,701.24,691.77,694.94,43779100
2026-05-08,699.92,711.23,699.5,711.23,44320400
2026-05-11,710.36,714.59,708.91,713.29,36019100
2026-05-12,708.22,710.18,696.64,707.24,45873000
2026-05-13,709.96,716.65,704.83,714.71,40012500
2026-05-14,714.62,722.03,714.22,719.79,33327500
2026-05-15,710.14,715.13,705.55,708.93,51792700
2026-05-18,711.54,712.07,698.85,705.88,49834500
2026-05-19,699.81,706.49,695.25,701.53,46827500
2026-05-20,705.29,713.15,703.79,713.15,36779200
2026-05-21,708.99,717.12,706.77,714.51,36415400
2026-05-22,718.07,722.12,715.95,717.54,33118600
2026-05-26,725.96,731.17,724.16,730.28,34254700
2026-05-27,732.96,733.32,725.44,729.45,35148700
2026-05-28,729.73,736.6,726.41,735.6,32840000
2026-05-29,737.84,741.63,735.25,738.31,37541700
2026-06-01,737.04,745.65,735.99,742.74,33890600
2026-06-02,742.4,746.44,739.23,746.16,30085200
2026-06-03,747.31,748.65,741.01,744.21,40270200
2026-06-04,735.48,743.5,732.62,740.61,40782600
2026-06-05,730.06,731.69,704.32,705.06,99606600
2026-06-08,717.81,723.03,713.07,716.07,47401500
2026-06-09,722.98,725.66,686.37,707.83,91932200
2026-06-10,701.66,711.28,692.93,693.69,65334300
2026-06-11,699.29,718.37,695,717.12,71798900
2026-06-12,717.61,724.01,711.28,721.34,51168400
2026-06-15,738.1,744.76,737.38,744,46710200
2026-06-16,742.25,744.22,729.64,729.86,45348700
2026-06-17,735.19,735.68,720.85,722.51,51669300
2026-06-18,737.2,741.82,732.51,740.62,50154600
2026-06-22,742.02,745.45,734.39,737.95,43518600
2026-06-23,715.74,723.61,712.11,713.65,53354200
2026-06-24,715.37,719.93,704.45,710.62,52480400
2026-06-25,725.9,726.83,705.3,716.38,49668000
2026-06-26,707.13,715.56,702.81,706.52,47081800
2026-06-29,713.99,724.58,705.17,724.08,44939100
2026-06-30,724.18,737.62,723.91,736.4,42121800
2026-07-01,729.19,731.92,724.6,725.17,40803800
2026-07-02,725.58,730.83,707.56,712.6,50959800
2026-07-06,719.93,726.08,718.45,722.82,30220400
2026-07-07,714.17,716.35,704.9,709.43,42483100
2026-07-08,704.95,712.26,700.91,711.44,35603200
2026-07-09,718.33,724.23,715.13,723.28,33654700
2026-07-10,720.7,726.39,717,725.51,26415900
2026-07-13,717.72,718.74,710.08,711.74,36552400
2026-07-14,720.22,722.29,714.34,719.69,29448100
2026-07-15,723.85,724.36,710.23,717.74,32627600
2026-07-16,712.01,713.6,702.61,705.94,39402000
2026-07-17,691.65,702.3,686.76,695.33,54109300
2026-07-20,702.16,705.8,695.51,696.06,29687600
2026-07-21,706.57,710.05,702.8,708.97,33728300
2026-07-22,703.62,709.65,703.62,705.35,23692200
2026-07-23,694.67,698.66,687.79,691.96,44028600
2026-07-24,690.41,692.63,682.48,684.23,42876700
2026-07-27,691.68,692.3,675.95,682.12,42681500
2026-07-28,676.23,679.4,667.88,675.49,51398700
2026-07-29,675.51,680.05,661.14,661.73,57233300
2026-07-30,674.76,685.12,673.3,683.55,66753700
2026-07-31,692.11,695.77,680.05,687.99,50540500
2026-08-03,688.3,701.59,685.82,700.07,44965100
2026-08-04,708.16,725.66,707.53,723.85,59778600
2026-08-05,726.25,728.54,716.92,717.3,33540200
2026-08-06,710.82,719.32,708.5,714.65,33035900
2026-08-07,720.15,723.63,716.51,723.03,31070400
2026-08-10,722.39,724.67,720.33,720.87,26243200
2026-08-11,723.29,723.35,715.5,718.45,29286100
2026-08-12,727.08,727.25,722.92,723.7,29066000
2026-08-13,725.15,733.96,724.03,732.07,31599700
2026-08-14,733.41,734.39,728.32,731.07,23790600
2026-08-17,732.95,734.58,729.27,729.87,26452600
2026-08-18,720.21,722.13,715.92,717.51,48997200
2026-08-19,720.39,721.5,712.61,716.08,35801700
2026-08-20,712.09,714.94,708.52,710.93,33396400
2026-08-21,715.23,715.67,709.2,713.44,33399400
2026-08-24,709.66,709.79,702.7,706.32,37443100
2026-08-25,711.22,714.04,707.45,710.72,23869600
2026-08-26,708.41,713.02,707.97,711.37,20392400
2026-08-27,716.93,721.35,714.53,721.11,28723500
2026-08-28,719.74,724.13,715.09,716.43,34105400
2026-08-31,715.17,717.58,713.16,716.76,32237200
2026-09-01,707.39,712.3,704.66,707.64,35236100
2026-09-02,707.1,709.8,705.1,709.24,23476200
2026-09-03,710.85,718.92,709.69,717.67,29449800
2026-09-04,719.35,721.86,716.56,718.96,32871100
2026-09-08,720.91,721.89,715.57,718.36,28341400
2026-09-09,716.4,719.7,714.02,716.31,26763400
2026-09-10,707.55,712.06,706.86,708.69,31414400
2026-09-11,715.68,717.63,713.63,714.88,26649100
2026-09-14,703.33,712.95,702.74,709.18,35219000
2026-09-15,708.8,709.53,703.64,704.54,26631700
2026-09-16,708,711.88,700,704.72,35688000
2026-09-17,715.95,718.04,713.32,716.92,37270300
2026-09-18,718.83,721.73,715.08,721.45,48478700
2026-09-21,727.89,743.22,727.81,741.47,46730600
2026-09-22,740.98,748.35,740.93,747.46,40128800
2026-09-23,746.99,747.12,738.191,741.21,32952535
