Date,Open,High,Low,Close,Volume
2007-04-04,47.46,47.73,47.4,47.65,819500
2007-04-05,47.6,47.94,47.53,47.88,717400
2007-04-09,47.87,47.97,47.37,47.71,572400
2007-04-10,47.52,48,47.47,48,511600
2007-04-11,47.9,48.36,47.76,47.84,1657200
2007-04-12,47.57,47.77,47.06,47.65,1232300
2007-04-13,47.52,47.92,47.49,47.81,827300
2007-04-16,47.86,48.2,47.83,48.04,560400
2007-04-17,47.96,48.71,47.86,48.51,527400
2007-04-18,48.42,48.93,48.31,48.9,595900
2007-04-19,49.76,49.76,48.55,48.7,593800
2007-04-20,49.2,49.34,48.61,48.85,926000
2007-04-23,48.75,49.34,48.68,48.94,619600
2007-04-24,48.93,48.98,48.27,48.53,714100
2007-04-25,48.73,48.89,47.82,48.57,1286300
2007-04-26,49.57,51.9,49.38,50.79,3184700
2007-04-27,51.66,51.66,50.5,51.13,1353600
2007-04-30,51.15,51.21,50.49,50.53,2219000
2007-05-01,50.7,51.01,50.3,50.61,704500
2007-05-02,50.56,50.85,50.22,50.27,641900
2007-05-03,50.5,50.95,50.06,50.83,959600
2007-05-04,50.86,51.02,50.11,50.89,2097300
2007-05-07,50.86,51.19,50.55,50.64,526200
2007-05-08,50.44,50.58,49.78,50.22,913000
2007-05-09,50.22,50.58,50.03,50.48,795900
2007-05-10,50.48,50.66,50.1,50.24,999400
2007-05-11,50.31,50.91,50.27,50.6,1340400
2007-05-14,50.7,50.94,49.94,50.18,715800
2007-05-15,50.2,50.63,50.06,50.29,1520700
2007-05-16,50.29,50.29,49.84,50.12,594400
2007-05-17,50.31,50.64,50.24,50.26,785900
2007-05-18,50.36,50.91,50.16,50.88,961700
2007-05-21,50.78,51.02,50.72,51.02,1124100
2007-05-22,50.81,50.96,50.03,50.8,1354600
2007-05-23,50.46,50.53,49.98,50.22,1818000
2007-05-24,50.23,50.6,49.86,50.1,1291600
2007-05-25,50.05,50.36,49.89,50.13,563900
2007-05-29,50.17,50.34,49.9,50.27,788600
2007-05-30,50.17,52.14,49.89,52.14,1826800
2007-05-31,52.21,54.3,52.14,53.92,2694300
2007-06-01,53.96,54.1,53.75,53.91,1366500
2007-06-04,53.68,53.95,53.26,53.49,1209800
2007-06-05,53.09,53.42,52.83,53.37,602500
2007-06-06,53.37,53.37,52.95,53.17,1057300
2007-06-07,53.08,53.23,52.67,52.68,1170800
2007-06-08,51.46,52.3,51.45,52.24,2254000
2007-06-11,52.24,52.82,51.8,52.54,714300
2007-06-12,52.42,53.57,52.13,52.92,1525600
2007-06-13,53.3,54.49,53.29,54.49,1378000
2007-06-14,54.4,54.45,53.89,54.28,1356300
2007-06-15,54.55,54.88,53.98,54.01,1228800
2007-06-18,54.5,54.56,53.98,54.18,893300
2007-06-19,54.16,55.37,53.94,55.09,1506500
2007-06-20,55.09,55.3,54.74,54.93,963300
2007-06-21,54.92,55.11,54.49,54.83,798000
2007-06-22,54.73,54.82,53.61,53.8,1511700
2007-06-25,53.85,53.9,53.33,53.56,1053100
2007-06-26,53.57,53.67,52.77,53.1,1238500
2007-06-27,53,54.65,52.59,54.41,1619800
2007-06-28,54.18,54.97,54.07,54.63,777300
2007-06-29,54.43,54.7,53.77,54.28,873400
2007-07-02,54.3,55.08,54.3,54.78,802400
2007-07-03,54.82,55.05,54.57,54.7,244700
2007-07-05,54.89,56.53,54.38,56.37,1666300
2007-07-06,56.23,56.53,55.66,56.3,677700
2007-07-09,56.25,56.54,55.49,55.77,695600
2007-07-10,55.7,55.8,55.13,55.17,497000
2007-07-11,55.17,56.19,55.09,55.92,720700
2007-07-12,56.19,56.62,55.79,56.62,761300
2007-07-13,56.63,57.2,56.59,56.94,448800
2007-07-16,56.1,57.8,56.1,57.67,1059200
2007-07-17,57.38,57.42,56.65,56.7,1087000
2007-07-18,56.81,57.09,56.15,56.7,756200
2007-07-19,56.9,57.45,56.87,57.39,587400
2007-07-20,57.4,57.4,56.05,56.24,891700
2007-07-23,56.15,56.67,56.09,56.28,731400
2007-07-24,56.07,56.57,55.56,55.84,870700
2007-07-25,54,55.85,53.22,54.8,2037900
2007-07-26,54.3,54.3,51.53,52.43,2379000
2007-07-27,52.11,52.14,50.47,50.51,2596300
2007-07-30,50.9,51.1,49.73,50.83,2646700
2007-07-31,51.18,51.54,49.62,49.63,2550300
2007-08-01,50.4,51.42,49.3,49.71,3642600
2007-08-02,50.01,50.79,49.62,50.53,1491000
2007-08-03,50.25,50.86,49.33,49.38,1695300
2007-08-06,49.71,50.35,48.59,49.89,2134000
2007-08-07,49.02,50.51,48.57,49.81,2575400
2007-08-08,50.23,53.24,49.96,50.8,2337400
2007-08-09,50,51.4,49.71,49.71,2076700
2007-08-10,49.59,50.23,47.61,49.55,1199100
2007-08-13,49.8,50.9,49.27,49.45,1112400
2007-08-14,49.5,49.72,48.16,48.23,845100
2007-08-15,48.28,49.18,46.76,46.98,1200900
2007-08-16,46.23,47.34,43.6,47.05,2565400
2007-08-17,47,48.67,45.88,48.06,2044300
2007-08-20,48.06,48.63,47.31,48.07,806500
2007-08-21,48,48.81,47.99,48.35,1405000
2007-08-22,49,49.24,47.94,48.06,1108000
2007-08-23,48.25,48.55,47.65,47.75,1302800
2007-08-24,47.64,48.21,47.5,48.21,851600
2007-08-27,48.1,48.34,47.62,47.74,327100
2007-08-28,47.55,47.68,46.39,46.49,584400
2007-08-29,46.82,47.38,46.58,47.2,616800
2007-08-30,46.85,47.5,46.64,46.96,510600
2007-08-31,47.5,47.59,46.81,47.4,613000
2007-09-04,47.82,48.51,47.56,48.17,1354500
2007-09-05,47.69,48.15,47.44,48,7912700
2007-09-06,47.3,47.3,46.19,47.02,1786100
2007-09-07,46.02,46.67,44.88,44.92,1997400
2007-09-10,44.4,45.31,44.37,44.69,2371300
2007-09-11,44.48,44.98,43.53,44.98,1990300
2007-09-12,44.94,46.21,44.94,45.65,1362300
2007-09-13,46.05,46.05,45.53,45.77,951700
2007-09-14,45.41,46.38,45.23,46.29,1220400
2007-09-17,45.93,45.93,44.34,44.46,2733000
2007-09-18,44.7,45.1,44.01,45.07,2109000
2007-09-19,45.26,46.3,44.97,46.1,2837800
2007-09-20,46.01,46.2,45.73,45.99,1307000
2007-09-21,46.08,46.2,45.12,45.12,2271500
2007-09-24,44.9,45.08,44.16,44.28,1510800
2007-09-25,44.01,44.67,44,44.61,2148000
2007-09-26,44.96,45.22,44.66,44.85,1869800
2007-09-27,45.11,45.25,44.72,44.84,915900
2007-09-28,44.65,44.84,44.03,44.37,2014900
2007-10-01,44.71,44.79,44.07,44.29,2715000
2007-10-02,44.29,44.51,44.11,44.42,1275000
2007-10-03,44,44.55,43.71,44.24,3741200
2007-10-04,44.4,44.66,44.23,44.66,2023400
2007-10-05,44.98,46.56,44.91,46.19,3420700
2007-10-08,46.05,46.21,45.93,46.16,979800
2007-10-09,46.38,47.81,46.2,47.57,1632000
2007-10-10,47.53,47.53,46.82,47.05,3460400
2007-10-11,47.09,48.29,46.93,47.14,2131100
2007-10-12,47.46,48.3,47.36,47.86,1148900
2007-10-15,48,48.06,46.88,47.2,2216100
2007-10-16,47.12,47.21,46.75,47.13,1715000
2007-10-17,47.67,47.67,46.52,47.19,2800800
2007-10-18,47.18,47.53,46.95,47.14,891800
2007-10-19,47,47.27,46.56,46.75,1313700
2007-10-22,46.37,47.49,46.17,47.08,2162700
2007-10-23,47.55,47.55,46.81,47.1,1410800
2007-10-24,47,47.11,46.63,46.65,3050900
2007-10-25,48.07,48.49,46.21,46.22,4190500
2007-10-26,46.72,46.72,44.87,45.55,2045400
2007-10-29,45.64,45.75,45.39,45.51,1080600
2007-10-30,45.4,45.84,45.3,45.36,813600
2007-10-31,45.53,46.16,44.49,46.08,1276200
2007-11-01,45.87,46.03,44.88,44.97,949500
2007-11-02,45.16,45.16,43.22,43.68,2627700
2007-11-05,42.93,43.97,42.93,43.64,1541200
2007-11-06,43.58,43.93,42.97,43.78,905000
2007-11-07,43.23,43.56,42.2,42.23,1464300
2007-11-08,42.27,42.51,40.44,41.5,1867900
2007-11-09,41,42.27,40.93,41.78,1914100
2007-11-12,43.8,43.8,42.65,42.9,1650500
2007-11-13,43.17,43.75,42.72,43.73,1927800
2007-11-14,43.75,43.89,43.19,43.36,982700
2007-11-15,43.1,43.78,42.98,43.24,1213600
2007-11-16,43.44,43.69,42.61,42.97,2231300
2007-11-19,43,44.11,42.45,42.79,1784700
2007-11-20,42.77,43.19,41.75,42.5,1162700
2007-11-21,42.39,42.94,41.82,42.48,1107800
2007-11-23,42.68,42.93,42.24,42.89,295900
2007-11-26,42.81,43.62,42.49,42.52,1484100
2007-11-27,42.66,43.26,42.37,42.96,1552800
2007-11-28,43.06,43.73,43.05,43.72,956500
2007-11-29,43.52,43.87,43.35,43.72,625600
2007-11-30,44,44.21,42.8,43.22,1504200
2007-12-03,43.4,43.42,42.89,43.07,706300
2007-12-04,42.73,43.03,42.61,42.69,1175100
2007-12-05,43.16,44.19,42.93,44.19,5418100
2007-12-06,44.17,44.49,43.92,44.23,3025800
2007-12-07,44.32,44.97,44.23,44.9,2053100
2007-12-10,45,45.57,44.61,45.3,636000
2007-12-11,45.46,45.48,43.6,43.7,1011400
2007-12-12,44.77,44.9,42.91,43.63,1127700
2007-12-13,43.33,43.86,42.85,43.35,522900
2007-12-14,43.04,43.74,42.95,43.51,701900
2007-12-17,43.52,43.52,42.79,42.99,854400
2007-12-18,43.48,43.56,42.42,42.59,860700
2007-12-19,42.67,42.77,42.12,42.14,1400200
2007-12-20,42.45,42.71,42.16,42.56,685200
2007-12-21,42.8,43.1,42.13,42.27,2491400
2007-12-24,42.32,43.02,42.32,42.79,270300
2007-12-26,42.67,42.73,41.89,42.38,931000
2007-12-27,42.29,42.33,41.52,41.52,856800
2007-12-28,42.01,42.06,41.42,42.01,869600
2007-12-31,41.8,41.9,41.49,41.59,884100
