Date,Open,High,Low,Close,Volume
2012-11-05,67.95,68.08,66.75,67.88,2576300
2012-11-06,68.16,68.8,68.07,68.71,2834200
2012-11-07,68.05,68.06,66.6,66.63,3139800
2012-11-08,66.57,66.95,65.95,65.95,2592700
2012-11-09,66.19,66.39,65.54,65.81,2928500
2012-11-12,65.85,66.68,65.7,66.64,2394600
2012-11-13,65.81,67.08,65.61,66.28,2384300
2012-11-14,66.42,66.51,64.89,65.05,2920900
2012-11-15,65.03,65.62,64.3,64.59,3814100
2012-11-16,64.62,66.48,64.46,66.19,3442600
2012-11-19,66.71,67.15,66.46,67.06,2408800
2012-11-20,66.97,67.07,66.07,66.63,2143100
2012-11-21,66.95,67.89,66.64,67.56,2488900
2012-11-23,67.89,68.18,67.28,68.18,1380700
2012-11-26,67.69,68,67.07,67.67,1709900
2012-11-27,67.59,67.59,66.96,67.35,2800300
2012-11-28,67.02,68.02,66.28,68.02,2884900
2012-11-29,68.5,68.51,67.86,68.35,1508500
2012-11-30,68.16,68.48,67.86,67.92,2654400
2012-12-03,68.14,68.67,67.75,67.83,2426700
2012-12-04,68,68.73,67.93,68.61,1918100
2012-12-05,68.78,69.86,68.55,69.6,3058200
2012-12-06,69.72,69.83,69.31,69.8,3294700
2012-12-07,69.88,69.88,69.14,69.48,2147600
2012-12-10,69.32,69.85,68.61,69.51,1905000
2012-12-11,69.91,70.84,69.8,70.83,2332000
2012-12-12,70.99,71,70.21,70.51,2670600
2012-12-13,70.31,70.5,69.33,69.56,1603100
2012-12-14,69.28,70.5,69.28,70.21,2160200
2012-12-17,70.31,71.33,70.31,71.33,3084000
2012-12-18,71.3,71.3,70.49,71.12,4158500
2012-12-19,71.49,71.5,70.4,70.4,4235300
2012-12-20,67.19,69.19,66,69.02,10555800
2012-12-21,68.54,68.91,67.23,67.42,6623300
2012-12-24,66.62,67.39,66.35,66.94,2891800
2012-12-26,66.75,67.21,66.04,66.29,2515300
2012-12-27,65.93,66.53,65.2,66.22,4111600
2012-12-28,65.72,66.25,65.61,65.66,3545100
2012-12-31,65.51,66.58,65.32,66.5,4083200
