entry_time,exit_time,dir,px_in,px_out,atr_pct,bars,gross_usd,net_hkd
2024-07-30 06:45:00,2024-07-30 09:15:00,多,2385.72,2389.63,0.1017,10,3.91,27.38
2024-08-06 03:30:00,2024-08-06 06:00:00,多,2415.5,2408.64,0.1622,10,-6.86,-56.63
2024-08-07 14:45:00,2024-08-07 17:15:00,多,2401.07,2401.69,0.1372,10,0.62,1.72
2024-08-09 13:30:00,2024-08-09 16:00:00,多,2430.05,2429.3,0.1086,10,-0.75,-8.97
2024-08-09 19:45:00,2024-08-09 22:15:00,多,2434.45,2428.35,0.1454,10,-6.1,-50.7
2024-08-13 15:30:00,2024-08-13 18:00:00,多,2470.97,2471.04,0.1141,10,0.07,-2.57
2024-08-14 10:00:00,2024-08-14 12:30:00,多,2469.76,2473.48,0.1016,10,3.72,25.9
2024-08-16 10:45:00,2024-08-16 13:15:00,多,2461.94,2466.13,0.1066,10,4.19,29.56
2024-08-19 11:15:00,2024-08-19 13:45:00,多,2506.02,2489.77,0.1186,10,-16.25,-129.87
2024-08-20 10:30:00,2024-08-20 13:00:00,多,2513.14,2522.19,0.1265,10,9.05,67.47
2024-08-21 05:00:00,2024-08-21 07:30:00,多,2519.64,2514.35,0.1012,10,-5.29,-44.38
2024-08-27 20:30:00,2024-08-27 23:00:00,多,2519.68,2525.05,0.1314,10,5.37,38.77
2024-09-09 15:15:00,2024-09-09 17:45:00,多,2502.19,2496.85,0.1075,10,-5.34,-44.77
2024-09-09 22:45:00,2024-09-10 02:15:00,多,2505.95,2506.14,0.1057,10,0.19,-1.64
2024-09-10 17:45:00,2024-09-10 20:15:00,多,2509.05,2513.94,0.1389,10,4.89,35.02
2024-09-24 13:00:00,2024-09-24 15:30:00,多,2631.92,2627.67,0.1068,10,-4.25,-36.27
2024-09-25 16:00:00,2024-09-25 18:30:00,多,2663.19,2658.19,0.1179,10,-5.0,-42.12
2024-09-26 16:15:00,2024-09-26 18:45:00,多,2667.9,2671.35,0.2142,10,3.45,23.79
2024-10-07 11:00:00,2024-10-07 13:30:00,多,2653.5,2656.17,0.1067,10,2.67,17.71
2024-10-15 11:00:00,2024-10-15 13:30:00,多,2654.47,2653.61,0.1098,10,-0.86,-9.83
2024-10-15 17:15:00,2024-10-15 19:45:00,多,2659.3,2661.81,0.1631,10,2.51,16.46
2024-10-15 18:15:00,2024-10-15 20:45:00,多,2663.28,2663.59,0.1618,10,0.31,-0.7
2024-10-29 16:30:00,2024-10-29 19:00:00,多,2760.6,2768.19,0.1373,10,7.59,56.08
2024-11-04 15:45:00,2024-11-04 18:15:00,多,2746.71,2737.79,0.1164,10,-8.92,-72.7
2024-11-05 10:45:00,2024-11-05 13:15:00,多,2742.47,2740.96,0.11,10,-1.51,-14.9
2024-11-06 03:30:00,2024-11-06 06:00:00,多,2747.67,2738.66,0.1257,10,-9.01,-73.4
2024-11-13 10:15:00,2024-11-13 12:45:00,多,2604.7,2609.01,0.1147,10,4.31,30.5
2024-11-15 15:00:00,2024-11-15 17:30:00,多,2573.77,2565.26,0.1396,10,-8.51,-69.5
2024-11-18 03:00:00,2024-11-18 05:30:00,多,2580.13,2589.21,0.1319,10,9.08,67.7
2024-11-25 01:15:00,2024-11-25 03:45:00,多,2717.82,2701.2,0.1488,10,-16.62,-132.76
2024-11-26 13:30:00,2024-11-26 16:00:00,多,2632.5,2631.98,0.1483,10,-0.52,-7.18
2024-12-03 08:15:00,2024-12-03 10:45:00,多,2649.14,2645.1,0.112,10,-4.04,-34.63
2024-12-03 15:45:00,2024-12-03 18:15:00,多,2652.86,2644.09,0.1263,10,-8.77,-71.53
2024-12-05 14:45:00,2024-12-05 17:15:00,多,2653.27,2634.16,0.1001,10,-19.11,-152.18
2024-12-09 01:00:00,2024-12-09 03:30:00,多,2642.74,2646.71,0.1374,10,3.97,27.85
2024-12-11 16:45:00,2024-12-11 19:15:00,多,2706.4,2716.97,0.1665,10,10.57,79.33
2025-01-08 15:30:00,2025-01-08 18:00:00,多,2657.72,2664.81,0.1149,10,7.09,52.18
2025-01-09 10:45:00,2025-01-09 13:15:00,多,2664.38,2670.77,0.1033,10,6.39,46.72
2025-01-14 21:30:00,2025-01-15 01:00:00,多,2675.21,2676.43,0.1097,10,1.22,6.4
2025-01-21 03:15:00,2025-01-21 05:45:00,多,2712.44,2724.12,0.1363,10,11.68,87.98
2025-02-13 20:45:00,2025-02-13 23:15:00,多,2924.07,2928.37,0.1387,10,4.3,30.42
2025-02-21 19:30:00,2025-02-21 22:00:00,多,2940.43,2935.66,0.1425,10,-4.77,-40.33
2025-02-24 15:00:00,2025-02-24 17:30:00,多,2950.49,2935.66,0.1156,10,-14.83,-118.79
2025-03-03 13:00:00,2025-03-03 15:30:00,多,2874.61,2872.97,0.1206,10,-1.64,-15.91
2025-03-04 09:15:00,2025-03-04 11:45:00,多,2899.4,2918.0,0.126,10,18.6,141.96
2025-03-05 18:15:00,2025-03-05 20:45:00,多,2928.55,2917.44,0.2231,10,-11.11,-89.78
2025-03-12 11:45:00,2025-03-12 14:15:00,多,2922.13,2913.32,0.1043,10,-8.81,-71.84
2025-03-17 02:15:00,2025-03-17 04:45:00,多,2993.96,2990.79,0.1094,10,-3.17,-27.85
2025-03-25 11:15:00,2025-03-25 13:45:00,多,3018.01,3023.55,0.1004,10,5.54,40.09
2025-03-31 01:00:00,2025-03-31 03:30:00,多,3090.71,3083.9,0.1367,10,-6.81,-56.24
2025-04-01 04:00:00,2025-04-01 06:30:00,多,3132.83,3144.16,0.1058,10,11.33,85.25
2025-04-03 01:00:00,2025-04-03 03:30:00,多,3144.48,3146.73,0.2957,10,2.25,14.43
2025-04-07 14:00:00,2025-04-07 16:30:00,多,3040.3,3006.94,0.3202,10,-33.36,-263.33
2025-04-15 20:30:00,2025-04-15 23:00:00,多,3228.77,3231.11,0.1423,10,2.34,15.13
2025-04-24 23:45:00,2025-04-25 03:15:00,多,3349.26,3357.55,0.1562,10,8.29,61.54
2025-04-28 17:15:00,2025-04-28 19:45:00,多,3311.24,3336.61,0.2223,10,25.37,194.77
2025-05-09 14:15:00,2025-05-09 16:45:00,多,3334.06,3330.72,0.1867,10,-3.34,-29.17
2025-05-09 18:30:00,2025-05-09 21:00:00,多,3343.09,3338.96,0.2141,10,-4.13,-35.33
2025-05-23 07:15:00,2025-05-23 09:45:00,多,3311.86,3331.04,0.1698,10,19.18,146.48
2025-06-04 17:00:00,2025-06-04 19:30:00,多,3366.84,3372.98,0.1897,10,6.14,44.77
2025-06-06 07:45:00,2025-06-06 10:15:00,多,3373.63,3360.48,0.118,10,-13.15,-105.69
2025-06-09 17:00:00,2025-06-09 19:30:00,多,3325.77,3332.9,0.1591,10,7.13,52.49
2025-06-09 18:15:00,2025-06-09 20:45:00,多,3330.62,3333.64,0.1611,10,3.02,20.44
2025-06-11 04:15:00,2025-06-11 06:45:00,多,3335.77,3339.38,0.1369,10,3.61,25.04
2025-06-13 03:00:00,2025-06-13 05:30:00,多,3401.98,3438.03,0.1485,10,36.05,278.07
2025-06-13 15:30:00,2025-06-13 18:00:00,多,3431.53,3424.45,0.1762,10,-7.08,-58.34
2025-06-18 07:30:00,2025-06-18 10:00:00,多,3397.44,3381.53,0.1227,10,-15.91,-127.22
2025-06-18 16:00:00,2025-06-18 18:30:00,多,3391.04,3387.96,0.1334,10,-3.08,-27.14
2025-06-30 19:00:00,2025-06-30 21:30:00,多,3293.37,3299.08,0.1481,10,5.71,41.42
2025-08-04 14:00:00,2025-08-04 16:30:00,多,3363.78,3376.1,0.1049,10,12.32,92.98
2025-08-05 16:30:00,2025-08-05 19:00:00,多,3376.75,3387.03,0.1288,10,10.28,77.06
2025-08-07 11:30:00,2025-08-07 14:00:00,多,3378.51,3380.11,0.1505,10,1.6,9.36
2025-08-07 22:30:00,2025-08-08 02:00:00,多,3399.6,3399.77,0.1259,10,0.17,-1.79
2025-08-13 10:00:00,2025-08-13 12:30:00,多,3358.14,3365.29,0.1033,10,7.15,52.65
2025-08-26 18:00:00,2025-08-26 20:30:00,多,3381.44,3381.88,0.1196,10,0.44,0.31
2025-09-02 04:00:00,2025-09-02 06:30:00,多,3488.92,3492.89,0.1134,10,3.97,27.85
2025-09-03 14:00:00,2025-09-03 16:30:00,多,3546.2,3551.71,0.126,10,5.51,39.86
2025-09-08 10:00:00,2025-09-08 12:30:00,多,3604.61,3614.42,0.1276,10,9.81,73.4
2025-09-10 12:30:00,2025-09-10 15:00:00,多,3651.0,3648.19,0.1092,10,-2.81,-25.04
2025-09-15 15:45:00,2025-09-15 18:15:00,多,3650.31,3667.32,0.1135,10,17.01,129.56
2025-09-15 16:15:00,2025-09-15 18:45:00,多,3653.74,3680.52,0.1165,10,26.78,205.76
2025-09-19 06:15:00,2025-09-19 08:45:00,多,3654.0,3652.47,0.1257,10,-1.53,-15.05
2025-10-02 13:15:00,2025-10-02 15:45:00,多,3882.45,3884.45,0.1293,10,2.0,12.48
2025-10-03 11:45:00,2025-10-03 14:15:00,多,3864.77,3858.77,0.1103,10,-6.0,-49.92
2025-10-08 02:45:00,2025-10-08 05:15:00,多,3994.35,4003.63,0.1139,10,9.28,69.26
2025-10-09 15:30:00,2025-10-09 18:00:00,多,4045.51,4025.4,0.1337,10,-20.11,-159.98
2025-10-15 01:00:00,2025-10-15 03:30:00,多,4160.77,4167.18,0.2045,10,6.41,46.88
2025-10-16 01:30:00,2025-10-16 04:00:00,多,4215.34,4220.59,0.1844,10,5.25,37.83
2025-10-23 09:00:00,2025-10-23 11:30:00,多,4130.11,4111.33,0.2735,10,-18.78,-149.6
2025-10-29 03:30:00,2025-10-29 06:00:00,多,3981.68,3959.03,0.2962,10,-22.65,-179.79
2025-10-29 09:30:00,2025-10-29 12:00:00,多,3980.91,4016.41,0.2514,10,35.5,273.78
2025-10-31 15:30:00,2025-10-31 18:00:00,多,4029.58,4017.2,0.2138,10,-12.38,-99.68
2025-11-03 17:00:00,2025-11-03 19:30:00,多,4026.61,4005.77,0.1994,10,-20.84,-165.67
2025-11-07 08:45:00,2025-11-07 11:15:00,多,4006.72,4010.22,0.1348,10,3.5,24.18
2025-11-10 02:45:00,2025-11-10 05:15:00,多,4020.37,4050.67,0.1605,10,30.3,233.22
2025-11-12 17:00:00,2025-11-12 19:30:00,多,4161.96,4202.56,0.2133,10,40.6,313.56
2025-11-19 07:15:00,2025-11-19 09:45:00,多,4088.75,4086.89,0.1745,10,-1.86,-17.63
2025-11-20 14:45:00,2025-11-20 17:15:00,多,4081.79,4095.43,0.2392,10,13.64,103.27
2025-12-03 14:30:00,2025-12-03 17:00:00,多,4214.2,4217.65,0.1269,10,3.45,23.79
2025-12-03 15:15:00,2025-12-03 17:45:00,多,4220.4,4216.29,0.1344,10,-4.11,-35.18
2025-12-04 18:15:00,2025-12-04 20:45:00,多,4216.21,4207.98,0.1893,10,-8.23,-67.31
2025-12-05 06:00:00,2025-12-05 08:30:00,多,4213.71,4225.04,0.1213,10,11.33,85.25
2025-12-09 11:00:00,2025-12-09 13:30:00,多,4203.48,4204.86,0.1303,10,1.38,7.64
2025-12-09 18:00:00,2025-12-09 20:30:00,多,4218.47,4205.63,0.195,10,-12.84,-103.27
2025-12-11 16:00:00,2025-12-11 18:30:00,多,4227.22,4261.6,0.1525,10,34.38,265.04
2025-12-12 08:45:00,2025-12-12 11:15:00,多,4282.84,4313.54,0.104,10,30.7,236.34
2025-12-15 03:00:00,2025-12-15 05:30:00,多,4313.24,4327.83,0.1744,10,14.59,110.68
2025-12-15 03:30:00,2025-12-15 06:00:00,多,4319.82,4328.17,0.1763,10,8.35,62.01
2025-12-17 03:00:00,2025-12-17 05:30:00,多,4317.82,4321.62,0.122,10,3.8,26.52
2025-12-18 18:00:00,2025-12-18 20:30:00,多,4362.27,4333.8,0.2361,10,-28.47,-225.19
2025-12-19 17:00:00,2025-12-19 19:30:00,多,4341.59,4351.39,0.1565,10,9.8,73.32
2025-12-26 02:00:00,2025-12-26 04:30:00,多,4503.26,4499.17,0.22,10,-4.09,-35.02
2026-01-06 01:00:00,2026-01-06 03:30:00,多,4451.55,4439.26,0.1621,10,-12.29,-98.98
2026-01-06 05:00:00,2026-01-06 07:30:00,多,4462.62,4463.05,0.1949,10,0.43,0.23
2026-01-08 02:00:00,2026-01-08 04:30:00,多,4465.58,4441.93,0.1311,10,-23.65,-187.59
2026-01-09 15:30:00,2026-01-09 18:00:00,多,4486.86,4503.14,0.1814,10,16.28,123.86
2026-01-13 15:00:00,2026-01-13 17:30:00,多,4602.76,4614.77,0.1557,10,12.01,90.56
2026-01-15 12:30:00,2026-01-15 15:00:00,多,4617.99,4611.47,0.1561,10,-6.52,-53.98
2026-01-16 13:30:00,2026-01-16 16:00:00,多,4615.5,4607.13,0.1378,10,-8.37,-68.41
2026-01-20 05:45:00,2026-01-20 08:15:00,多,4680.09,4712.4,0.1225,10,32.31,248.9
2026-01-22 16:30:00,2026-01-22 19:00:00,多,4845.68,4880.27,0.1922,10,34.59,266.68
2026-01-26 18:00:00,2026-01-26 20:30:00,多,5101.5,5064.29,0.262,10,-37.21,-293.36
2026-02-03 01:15:00,2026-02-03 03:45:00,多,4738.26,4841.59,0.8402,10,103.33,802.85
2026-02-03 01:45:00,2026-02-03 04:15:00,多,4774.41,4772.62,0.8359,10,-1.79,-17.08
2026-02-10 16:15:00,2026-02-10 18:45:00,多,5070.29,5023.84,0.2656,10,-46.45,-365.43
2026-02-11 03:45:00,2026-02-11 06:15:00,多,5052.57,5058.37,0.2316,10,5.8,42.12
2026-02-11 12:00:00,2026-02-11 14:30:00,多,5068.89,5068.61,0.1793,10,-0.28,-5.3
2026-02-13 16:15:00,2026-02-13 18:45:00,多,5002.6,5007.87,0.295,10,5.27,37.99
2026-02-19 07:00:00,2026-02-19 09:30:00,多,4990.37,5015.39,0.1505,10,25.02,192.04
2026-02-20 03:00:00,2026-02-20 05:30:00,多,5013.39,4987.33,0.1911,10,-26.06,-206.39
2026-02-20 08:15:00,2026-02-20 10:45:00,多,5022.16,5028.84,0.1744,10,6.68,48.98
2026-02-26 22:00:00,2026-02-27 01:30:00,多,5196.86,5185.81,0.2133,10,-11.05,-89.31
2026-02-27 15:00:00,2026-02-27 17:30:00,多,5212.94,5231.05,0.1488,10,18.11,138.14
2026-03-09 21:45:00,2026-03-10 01:15:00,多,5123.26,5132.09,0.2511,10,8.83,65.75
2026-03-17 04:45:00,2026-03-17 07:15:00,多,5027.79,5032.61,0.1875,10,4.82,34.48
2026-03-17 06:15:00,2026-03-17 08:45:00,多,5032.54,5020.71,0.1741,10,-11.83,-95.39
2026-03-20 06:00:00,2026-03-20 08:30:00,多,4717.27,4709.42,0.4257,10,-7.85,-64.35
2026-03-24 23:15:00,2026-03-25 02:45:00,多,4455.6,4546.78,0.5148,10,91.18,708.08
2026-03-27 05:00:00,2026-03-27 07:30:00,多,4435.08,4441.39,0.4025,10,6.31,46.1
2026-04-07 20:45:00,2026-04-07 23:15:00,多,4675.86,4710.23,0.3505,10,34.37,264.97
2026-04-09 13:15:00,2026-04-09 15:45:00,多,4738.12,4745.83,0.2286,10,7.71,57.02
2026-04-09 14:15:00,2026-04-09 16:45:00,多,4745.77,4764.44,0.2063,10,18.67,142.51
2026-04-14 01:15:00,2026-04-14 03:45:00,多,4748.76,4769.84,0.1843,10,21.08,161.3
2026-04-16 02:15:00,2026-04-16 04:45:00,多,4815.03,4817.99,0.1437,10,2.96,19.97
2026-04-17 15:15:00,2026-04-17 17:45:00,多,4816.83,4873.07,0.1701,10,56.24,435.55
2026-04-20 14:45:00,2026-04-20 17:15:00,多,4810.37,4823.31,0.1628,10,12.94,97.81
2026-04-20 16:00:00,2026-04-20 18:30:00,多,4815.43,4800.3,0.1943,10,-15.13,-121.13
2026-04-21 01:30:00,2026-04-21 04:00:00,多,4830.66,4814.79,0.1388,10,-15.87,-126.91
2026-04-29 03:00:00,2026-04-29 05:30:00,多,4607.42,4596.86,0.1491,10,-10.56,-85.49
2026-05-01 01:00:00,2026-05-01 03:30:00,多,4631.29,4620.75,0.1664,10,-10.54,-85.33
2026-05-07 04:00:00,2026-05-07 06:30:00,多,4709.74,4703.9,0.1774,10,-5.84,-48.67
2026-05-07 09:30:00,2026-05-07 12:00:00,多,4746.0,4734.09,0.1961,10,-11.91,-96.02
2026-05-08 16:30:00,2026-05-08 19:00:00,多,4738.15,4711.51,0.2263,10,-26.64,-210.91
2026-05-18 16:45:00,2026-05-18 19:15:00,多,4575.66,4537.1,0.2834,10,-38.56,-303.89
2026-05-19 01:00:00,2026-05-19 03:30:00,多,4573.29,4570.82,0.196,10,-2.47,-22.39
2026-05-20 14:15:00,2026-05-20 16:45:00,多,4500.04,4483.11,0.1979,10,-16.93,-135.17
2026-05-21 20:30:00,2026-05-21 23:00:00,多,4548.23,4542.54,0.234,10,-5.69,-47.5
2026-05-25 13:00:00,2026-05-25 15:30:00,多,4571.93,4566.49,0.127,10,-5.44,-45.55
2026-06-02 06:45:00,2026-06-02 09:15:00,多,4499.33,4533.19,0.1911,10,33.86,260.99
2026-06-11 19:00:00,2026-06-11 21:30:00,多,4102.64,4164.82,0.3478,10,62.18,481.88
2026-06-11 20:30:00,2026-06-11 23:00:00,多,4166.72,4213.82,0.4472,10,47.1,364.26
2026-06-12 11:15:00,2026-06-12 13:45:00,多,4213.07,4210.94,0.283,10,-2.13,-19.73
2026-06-12 21:30:00,2026-06-15 01:00:00,多,4229.34,4300.07,0.2792,10,70.73,548.57
