Date,Open,High,Low,Close,Volume
2023-04-27,1804.5,1826.5,1799,1825,21175700
2023-04-28,1839,1857,1833.5,1857,29984600
2023-05-01,1870.5,1879.5,1865,1874,18668200
2023-05-02,1877,1877.5,1853,1864.5,17441500
2023-05-08,1860,1861.5,1848,1856,17294400
2023-05-09,1861,1920,1855,1916.5,39880100
2023-05-10,1920,1963.5,1894,1931.5,55815000
2023-05-11,1950,1959,1902,1916,34669900
2023-05-12,1945.5,1949,1913.5,1942,28097200
2023-05-15,1939.5,1942,1926,1933,16791400
2023-05-16,1933,1939.5,1919,1923.5,18728200
2023-05-17,1925,1935.5,1921,1928,16295600
2023-05-18,1945,1958,1942,1955.5,28317600
2023-05-19,1963.5,1973.5,1950.5,1959.5,23600700
2023-05-22,1945,1950,1934.5,1950,25566800
2023-05-23,1970,1979,1857,1857,39793700
2023-05-24,1949.5,1959.5,1924,1956.5,35899300
2023-05-25,1953.5,1960,1937,1938.5,26877800
2023-05-26,1940.5,1956,1931,1937,20230300
2023-05-29,1959,1960,1922,1928.5,28467700
2023-05-30,1921,1944,1910.5,1940,18882600
2023-05-31,1929.5,1934.5,1892.5,1908.5,53396000
2023-06-01,1946,1973,1935.5,1943,36193300
2023-06-02,1960.5,2010,1959,2009.5,46785900
2023-06-05,2050,2058.5,2021,2028.5,33729200
2023-06-06,2025,2050,2011.5,2050,22611500
2023-06-07,2058,2078.5,2021,2022,41062900
2023-06-08,2038.5,2052,2017.5,2024,28562300
2023-06-09,2055,2057.5,2030,2051.5,37276500
2023-06-12,2065.5,2073.5,2054.5,2069,19714600
2023-06-13,2100,2183,2099.5,2173.5,70125200
2023-06-14,2260,2350,2235,2310,99612100
2023-06-15,2346,2358,2303.5,2320.5,57885900
2023-06-16,2350,2350,2275,2316,59050900
2023-06-19,2320.5,2323,2240,2253,41460800
2023-06-20,2250,2263,2222,2244,36130900
2023-06-21,2222,2228.5,2205.5,2218.5,38394900
2023-06-22,2246,2258,2231.5,2240.5,29584300
2023-06-23,2252,2255,2171.5,2199.5,30642900
2023-06-26,2204,2227,2191,2221,22817900
2023-06-27,2248,2257.5,2221,2237,26165400
2023-06-28,2276,2300,2271.5,2300,35651600
2023-06-29,2302,2311,2278.5,2295.5,27070800
2023-06-30,2320,2323.5,2285.5,2308.5,37428700
2023-07-03,2308,2329.5,2303.5,2325.5,25421400
2023-07-04,2332.5,2344.5,2324.5,2338,26554700
2023-07-05,2336,2341.5,2322.5,2341,20643100
2023-07-06,2350,2358,2317,2327,28608700
2023-07-07,2323.5,2324,2292,2299.5,26236300
2023-07-10,2270,2290,2255,2260,28824200
2023-07-11,2256,2258.5,2204,2211,29078400
2023-07-12,2210,2231,2189,2198,20500400
2023-07-13,2192.5,2224,2180,2211.5,19826600
2023-07-14,2219.5,2231,2197,2218,21578800
2023-07-18,2214,2247.5,2212,2240,18107200
2023-07-19,2266.5,2291,2265,2291,22597800
2023-07-20,2291.5,2311,2275,2287,21073000
2023-07-21,2289,2301,2277,2287.5,20284200
2023-07-24,2317,2333,2307.5,2324,23557600
2023-07-25,2316.5,2344.5,2311.5,2344.5,23265300
2023-07-26,2318,2326,2305.5,2322,19436200
2023-07-27,2315,2329,2303.5,2320.5,18487400
2023-07-28,2288.5,2327,2263.5,2310,37405600
2023-07-31,2350,2386,2348.5,2386,44133500
2023-08-01,2398,2464,2387,2445.5,68906000
2023-08-02,2438.5,2549,2418.5,2502.5,78801100
2023-08-03,2476,2477,2401,2407.5,44187800
2023-08-04,2407,2456.5,2401.5,2437.5,30038200
2023-08-07,2431.5,2457,2424,2444,19853700
2023-08-08,2463.5,2476,2420.5,2423.5,22190700
2023-08-09,2423,2427,2384,2395.5,19106300
2023-08-10,2406.5,2432.5,2395,2429,19458600
2023-08-14,2439.5,2459.5,2403,2408,17152200
2023-08-15,2433,2438,2414.5,2419,12578800
2023-08-16,2400,2412.5,2368,2370.5,22466200
2023-08-17,2360.5,2379,2332.5,2377,18693200
2023-08-18,2348.5,2368,2334.5,2349,20054000
2023-08-21,2349.5,2376,2348,2356.5,14606100
2023-08-22,2386,2420,2383,2416.5,18256500
2023-08-23,2393,2411,2389.5,2410.5,15164600
2023-08-24,2411.5,2412.5,2394,2400,16406900
2023-08-25,2380,2402,2377,2395,15384300
2023-08-28,2421.5,2447,2420,2436.5,18256100
2023-08-29,2446.5,2451,2416.5,2431.5,17541400
2023-08-30,2449.5,2463.5,2440,2456.5,19036300
2023-08-31,2465,2524,2463,2515,39487900
2023-09-01,2485,2525,2483,2519.5,23445600
2023-09-04,2540,2599.5,2539,2597.5,33250800
2023-09-05,2600,2609.5,2564,2589,28061100
2023-09-06,2607,2664,2605.5,2651,31630100
2023-09-07,2657,2671.5,2633,2637,26184700
2023-09-08,2611,2645.5,2598,2603,30458600
2023-09-11,2610.5,2618,2586,2595,16439600
2023-09-12,2624,2660,2619,2657,21560000
2023-09-13,2657,2715,2651,2707.5,29244700
2023-09-14,2715.5,2757,2694,2748,31358600
2023-09-15,2788,2842,2780.5,2821.5,49241800
2023-09-19,2806.5,2885.5,2798,2880,40156000
2023-09-20,2900,2911.5,2797,2799,42976800
2023-09-21,2799,2835,2775,2785.5,25747000
2023-09-22,2749.5,2811,2735,2788.5,28714900
2023-09-25,2785,2789,2740.5,2761.5,21522300
2023-09-26,2765,2766.5,2707.5,2716.5,26603400
2023-09-27,2700,2751.5,2677,2748,31403100
2023-09-28,2720,2746.5,2678,2706,32137100
2023-09-29,2718,2727.5,2675.5,2677.5,33276200
2023-10-02,2700.5,2746.5,2683.5,2687,28738800
2023-10-03,2680,2687,2593,2605,31775900
2023-10-04,2555,2563,2471,2477.5,46063800
2023-10-05,2528,2590,2505.5,2590,41463500
2023-10-06,2564.5,2604,2536,2572,28521800
2023-10-10,2600,2640.5,2595,2624.5,27455800
2023-10-11,2650,2681,2640,2651,23177900
2023-10-12,2678,2740,2673,2740,32321600
2023-10-13,2708,2726,2677,2687.5,24757200
2023-10-16,2650,2665,2630.5,2660,19258100
2023-10-17,2705,2719,2653,2681,22766500
2023-10-18,2675,2697,2661,2669,18891100
2023-10-19,2625,2667,2623,2645,18842300
2023-10-20,2600.5,2642,2575,2617,23366400
2023-10-23,2600,2631,2585.5,2610,17852100
2023-10-24,2645,2648.5,2544,2597.5,26740000
2023-10-25,2631,2664,2613.5,2640,18828500
2023-10-26,2617.5,2628,2571,2594.5,22969100
2023-10-27,2595,2644,2594.5,2638.5,20775500
2023-10-30,2593,2595,2560.5,2574,28552500
2023-10-31,2590,2593,2526,2590,32184100
2023-11-01,2703.5,2752,2678.5,2712,66935200
2023-11-02,2812,2846.5,2746.5,2760,62211400
2023-11-06,2840,2866.5,2823.5,2846,48988800
2023-11-07,2850,2854,2818.5,2832,27050700
2023-11-08,2861.5,2879.5,2757,2757,32626900
2023-11-09,2795,2819,2752,2817.5,23116200
2023-11-10,2770.5,2815,2770,2803,23638200
2023-11-13,2833,2845.5,2807.5,2817,19390400
2023-11-14,2845,2866.5,2837.5,2843.5,25175900
2023-11-15,2880.5,2898.5,2860,2860,29788400
2023-11-16,2860,2897.5,2858,2879,21411300
2023-11-17,2840,2892.5,2834,2892.5,24794700
2023-11-20,2892.5,2900,2768.5,2780,46342000
2023-11-21,2785,2793,2720.5,2735,36142900
2023-11-22,2728,2781,2711,2728.5,31006900
2023-11-24,2785,2814,2774,2803,29415500
2023-11-27,2800,2803,2762,2770,22122900
2023-11-28,2770,2779.5,2736,2755,22163500
2023-11-29,2770,2809.5,2744,2802.5,36001000
2023-11-30,2810,2820,2786.5,2794.5,49146600
2023-12-01,2819,2842,2803,2833,26774000
2023-12-04,2802,2802.5,2744.5,2767.5,30495700
2023-12-05,2770,2784.5,2743.5,2753.5,24512600
2023-12-06,2770.5,2829.5,2758,2827,27896600
2023-12-07,2800,2812,2776,2794.5,26610300
2023-12-08,2711,2721,2657,2680.5,55312000
2023-12-11,2701,2716,2690.5,2705.5,31081400
2023-12-12,2727,2735.5,2681.5,2681.5,25316700
2023-12-13,2672.5,2682,2644.5,2673.5,20383300
2023-12-14,2605.5,2623.5,2552,2571.5,43459500
2023-12-15,2617,2624,2592,2600.5,32057100
2023-12-18,2590.5,2619.5,2571.5,2619.5,21229700
2023-12-19,2620,2657.5,2590.5,2640.5,24989000
2023-12-20,2666,2692,2634,2644,34125400
2023-12-21,2520,2576.5,2495,2537.5,47672400
2023-12-22,2520,2549.5,2499,2516,38330200
2023-12-25,2525,2553,2514.5,2537,19273800
2023-12-26,2543,2544.5,2520.5,2541,17223900
2023-12-27,2557.5,2583.5,2547,2583,26896000
2023-12-28,2555,2573,2539,2556,17822300
2023-12-29,2572,2615.5,2569,2590.5,26860500
