Date,Open,High,Low,Close,Volume
2014-06-03,135.9,136.47,134.96,135.71,437100
2014-06-04,135.06,135.67,134.21,134.98,545400
2014-06-05,135.19,136,134.17,135.61,669600
2014-06-06,136,137.81,135.76,136.97,997600
2014-06-09,137.32,138.77,135.67,135.71,1128500
2014-06-10,135.43,136.97,135.11,135.56,795300
2014-06-11,135.4,135.64,132.58,134.91,1058400
2014-06-12,134.82,135.93,132.28,132.51,547900
2014-06-13,132.52,132.9,130.47,132.17,901400
2014-06-16,132.08,132.58,131,132.02,586600
2014-06-17,131.49,132.48,130.77,132,679400
2014-06-18,132.05,133.28,129.79,133.1,1283800
2014-06-19,133.34,133.66,131.82,133.19,555400
2014-06-20,133.97,133.97,132.42,133.57,710700
2014-06-23,133.32,134.97,132.95,133.5,440400
2014-06-24,133.5,137.02,133.12,135.47,878800
2014-06-25,135.05,136.6,134.61,136.38,659600
2014-06-26,136.79,136.79,133.5,135.83,486300
2014-06-27,135.56,137.33,134.77,136.88,778100
2014-06-30,136.7,138.39,135.5,138.34,658200
2014-07-01,138.4,141,138.4,139.56,732700
2014-07-02,139.23,140.12,137.72,137.89,447100
2014-07-03,138.25,139.68,138.07,139.49,232100
2014-07-07,138.34,138.9,137.09,137.89,603300
2014-07-08,137.47,137.74,135.97,137.02,614700
2014-07-09,137.22,138.23,134.21,134.96,1409900
2014-07-10,128.14,132.79,127.77,130.37,3825000
2014-07-11,129.93,132.12,129.67,130.76,1253100
2014-07-14,131.44,132.14,130.59,131.47,594100
2014-07-15,131.4,132.25,130.81,131.67,642000
2014-07-16,132.05,132.62,130.78,132.32,873100
2014-07-17,131.01,131.67,130.04,130.19,786100
2014-07-18,130.65,132.03,129.9,131.83,385400
2014-07-21,130.77,131.94,130.77,131.35,439700
2014-07-22,132.58,132.58,130.93,132.25,2041200
2014-07-23,132.24,133.27,131,131.42,622200
2014-07-24,131.91,132.38,130.04,130.43,589000
2014-07-25,129.84,130.91,129.08,129.72,969700
2014-07-28,128.94,129.54,126.31,126.48,1336800
2014-07-29,126.55,128.45,126.08,127.27,1004800
2014-07-30,128.5,128.5,125.68,126.72,1334400
2014-07-31,125.71,126.39,123.81,124.77,1533600
2014-08-01,130.3,130.3,126.28,126.43,3041900
2014-08-04,126.78,128.59,126.3,128.5,1452600
2014-08-05,128.46,131.75,128,129.54,1325400
2014-08-06,128.86,130.89,128.5,130.33,935700
2014-08-07,131.21,131.61,129.62,130,637500
2014-08-08,130.18,134.51,129.67,134.42,1276200
2014-08-11,134.75,135.47,134.07,134.58,718400
2014-08-12,134.09,135.16,132.99,133.45,433800
2014-08-13,133.78,136.04,133.63,136.01,1127300
2014-08-14,136.1,139.96,136.07,139.92,1143200
2014-08-15,140.53,140.74,138.22,139.39,839500
2014-08-18,140.05,142.5,140,142.36,806000
2014-08-19,143.5,146.24,143.39,145.3,1252500
2014-08-20,144.54,146.38,144.01,146.04,540800
2014-08-21,146.13,146.51,144.69,146.12,478500
2014-08-22,145.67,147.41,145.2,146.46,522200
2014-08-25,146.79,147.09,145.54,146.7,656600
2014-08-26,146.7,147.65,146.03,146.06,766700
2014-08-27,146.21,146.95,145.59,145.93,526900
2014-08-28,145.45,146.05,143.84,145.53,477600
2014-08-29,146.02,146.82,144.92,146.02,298100
2014-09-02,146.06,146.62,145.21,146.07,918600
2014-09-03,146.92,147.2,145.78,146.26,567400
2014-09-04,146.55,149.84,146.1,147.15,719200
2014-09-05,147.01,148.28,146.51,148.12,662000
2014-09-08,147.72,148.54,146.57,147.28,777900
2014-09-09,147.38,147.77,145.62,145.82,388200
2014-09-10,145.85,146.46,144.61,145.42,533000
2014-09-11,144.72,145.55,144.24,145.26,391700
2014-09-12,145.08,145.33,140.43,142.2,872900
2014-09-15,142.43,142.56,140.23,141.42,663200
2014-09-16,140.59,141.2,139.47,140.07,760800
2014-09-17,140.9,143.83,140.84,142.86,1314700
2014-09-18,142.96,143.4,141.54,142.42,604000
2014-09-19,142.93,143.4,140.15,140.53,831000
2014-09-22,140.17,140.34,137.16,137.64,603000
2014-09-23,136.58,137.52,136.18,136.22,765800
2014-09-24,135.96,137.59,134.7,136.99,651500
2014-09-25,136.91,136.91,135,136.37,749200
2014-09-26,136.46,137.26,135.83,136.58,595500
2014-09-29,135.44,136.46,134.62,135.97,403300
2014-09-30,136.33,136.49,134.59,134.82,657300
2014-10-01,134.67,134.67,131.29,131.81,891700
2014-10-02,131.53,132.78,130.71,132.06,1083300
2014-10-03,133.31,136.27,132.94,135.54,814300
2014-10-06,135.72,136.71,134.2,134.32,423500
2014-10-07,133.19,134.23,132.37,133.33,647600
2014-10-08,132.99,134.46,130.61,134.39,947400
2014-10-09,134.4,134.55,129.94,130.01,913300
2014-10-10,129.75,130.93,128,128.12,908000
2014-10-13,128.11,129.22,124.73,124.82,1059800
2014-10-14,124.58,126.75,124.23,125.12,1046500
2014-10-15,122.95,126.25,120.37,125.62,1302200
2014-10-16,123.18,127.5,123.14,126,754600
2014-10-17,127.21,129.73,126.31,128.83,850000
2014-10-20,128.53,130.15,128.52,130.03,494900
2014-10-21,130.47,135.2,130.47,134.84,1073200
2014-10-22,133.86,135.54,133.14,133.48,710400
2014-10-23,134.15,136.57,134.15,135.32,747400
2014-10-24,135.27,135.9,133.75,134.92,542400
2014-10-27,133.8,134.95,133.26,134.29,371500
2014-10-28,134.24,137,134.09,137,396100
2014-10-29,137,137.57,133.62,134.66,735200
2014-10-30,134.42,135.75,133.44,135.74,904900
2014-10-31,143.5,147.03,139.04,142.04,2027800
2014-11-03,142.44,142.44,139.45,140.54,956300
2014-11-04,140.09,140.32,138.22,140.13,513100
2014-11-05,140.73,141.11,139.08,139.65,539100
2014-11-06,140.18,142.31,139.13,142.15,596900
2014-11-07,142.39,143.69,141.41,142.66,664500
2014-11-10,142.8,143.65,142.38,142.71,482500
2014-11-11,143.08,143.35,142.57,143.06,372500
2014-11-12,142.63,143.64,141.91,143.22,381400
2014-11-13,143.19,143.67,141.68,142.53,326800
2014-11-14,142.25,143.81,142.25,143.47,504300
2014-11-17,143.02,143.55,141.47,141.67,360500
2014-11-18,141.8,143.35,141.8,142.72,443800
2014-11-19,142.37,146.24,142.37,145.96,824000
2014-11-20,144.5,149.84,144.26,148.36,929800
2014-11-21,149.99,152.48,149.99,151.61,1578600
2014-11-24,152.41,154.69,152.17,153.89,1164800
2014-11-25,153.93,155.07,152.48,152.83,626300
2014-11-26,153.27,153.27,151.66,151.8,384500
2014-11-28,151.99,154.73,151.72,153.59,364500
2014-12-01,152.39,153.5,151.71,151.99,888800
2014-12-02,152.06,153.34,152.01,152.89,591600
2014-12-03,152.87,153.67,152.09,152.88,600500
2014-12-04,152.87,155.4,152.03,154.78,659100
2014-12-05,154.71,156.97,154.44,155.49,540600
2014-12-08,155.2,157.5,155.1,156.99,871400
2014-12-09,154.58,157.8,153.97,157.6,477600
2014-12-10,157.32,157.96,153.23,153.29,664500
2014-12-11,154.84,158.58,154.39,156.62,760400
2014-12-12,155.15,156.8,153.79,153.79,656700
2014-12-15,155.6,156.48,152.18,153.24,768600
2014-12-16,151.36,151.36,143.22,146.78,2285200
2014-12-17,147.5,152.09,146.88,151.71,1024200
2014-12-18,153.95,154.16,152.2,153.92,895800
2014-12-19,154.96,156,154.57,154.96,1064600
2014-12-22,155.42,155.92,153.73,154.54,438600
2014-12-23,155.57,156.47,154.45,154.77,568300
2014-12-24,155.2,155.51,154.48,154.56,134400
2014-12-26,154.81,156.31,154.69,155.3,271600
2014-12-29,155.16,156.85,155.06,155.97,440800
2014-12-30,155.56,156.86,155.04,155.64,270600
2014-12-31,155.68,157.73,155.13,155.36,399500
