Date,Open,High,Low,Close,Volume
2017-06-05,20.06,20.39,19.72,20.28,2333400
2017-06-06,20.09,20.4,19.87,20.22,2989400
2017-06-07,20.4,20.97,20.36,20.54,4701900
2017-06-08,20.54,21.5,20.54,21.16,5827400
2017-06-09,21.29,21.91,21.16,21.88,5377000
2017-06-12,21.65,23.15,21.6,23.14,10924400
2017-06-13,23.21,23.46,22.52,22.95,8393100
2017-06-14,22.72,22.88,22.23,22.7,4667800
2017-06-15,22.17,22.2,21.55,21.71,7136600
2017-06-16,21.72,21.72,20.51,20.99,7703000
2017-06-19,21.08,21.12,20.74,21.02,3444400
2017-06-20,21.06,21.14,20.35,20.48,4352700
2017-06-21,20.47,20.47,19.95,20.31,4724100
2017-06-22,20.34,21.46,20.15,20.65,5871100
2017-06-23,20.85,21.23,20.44,21.2,4543200
2017-06-26,21.28,21.76,21.09,21.56,4737200
2017-06-27,21.58,21.86,21.38,21.77,5505400
2017-06-28,21.89,22.27,21.61,21.63,3490700
2017-06-29,21.91,22.04,21.03,21.31,5441300
2017-06-30,21.7,21.99,21.49,21.76,3531200
2017-07-03,21.94,22.37,21.92,22.28,2299200
2017-07-05,22.07,22.28,21.88,22.14,3633200
2017-07-06,22.03,22.15,20.53,20.65,7879200
2017-07-07,20.65,20.93,20.4,20.64,3323300
2017-07-10,20.6,20.64,20.15,20.6,2612000
2017-07-11,20.58,20.58,19.88,20.25,6297000
2017-07-12,20.43,20.57,19.9,19.96,4104300
2017-07-13,20,20.36,19.91,19.93,4164100
2017-07-14,19.92,20.44,19.91,20.39,3504700
2017-07-17,20.42,20.67,20.3,20.45,2770200
2017-07-18,20.21,20.47,19.74,20.22,3921200
2017-07-19,20.22,20.63,20.16,20.49,1981100
2017-07-20,20.59,21.08,20.53,20.64,2978300
2017-07-21,20.63,20.72,20.25,20.64,3355000
2017-07-24,20.18,20.4,19.95,20.27,6738500
2017-07-25,20.06,20.43,20.05,20.11,4173700
2017-07-26,20.22,20.22,19.61,19.65,4280600
2017-07-27,19.68,19.8,19.31,19.42,5180900
2017-07-28,19.41,19.54,19.13,19.44,3631800
2017-07-31,19.45,20.84,19.43,20.02,10279200
2017-08-01,19.1,19.27,18.01,18.3,22283800
2017-08-02,18.17,18.58,17.92,18.56,6311000
2017-08-03,18.59,18.8,18.16,18.31,5145400
2017-08-04,18.39,18.57,18.29,18.39,2654600
2017-08-07,18.4,18.58,18.27,18.56,3071400
2017-08-08,18.6,19.32,18.51,19.25,4837700
2017-08-09,19.15,19.45,18.95,19.1,3381100
2017-08-10,19,19.02,18.63,18.71,3288400
2017-08-11,18.41,18.81,18.38,18.55,2414900
2017-08-14,18.78,18.92,18.6,18.83,2210900
2017-08-15,18.38,18.56,17.9,18.22,7761900
2017-08-16,18.34,18.46,18.16,18.18,3540900
2017-08-17,18.1,18.18,17.79,17.81,3872000
2017-08-18,17.5,17.5,16.94,17.12,7989300
2017-08-21,17.07,17.1,16.4,16.59,5266700
2017-08-22,16.7,16.83,16.55,16.78,2545200
2017-08-23,16.75,17.08,16.67,16.99,2529500
2017-08-24,17.14,17.19,16.84,17.05,2496800
2017-08-25,17.08,17.26,16.99,17.18,2683100
2017-08-28,17.01,17.15,16.89,16.93,3802600
2017-08-29,16.73,16.78,16.13,16.43,4966600
2017-08-30,16.42,16.53,16.2,16.23,3042800
2017-08-31,16.27,16.43,16.12,16.15,5090900
2017-09-01,16.21,16.5,15.92,16.37,4147000
2017-09-05,16.31,16.9,16.26,16.76,3964000
2017-09-06,16.92,17.2,16.82,17.03,3922200
2017-09-07,17.11,17.36,17.06,17.33,3713800
2017-09-08,17.33,17.68,17.2,17.42,4659700
2017-09-11,17.48,17.8,17.29,17.42,3640000
2017-09-12,17.37,17.58,17.05,17.54,3792400
2017-09-13,17.5,18.19,17.38,18.12,5066300
2017-09-14,18.09,18.11,17.61,17.95,4151300
2017-09-15,17.91,18.02,17.69,17.79,5166200
2017-09-18,17.76,17.99,17.33,17.37,4070600
2017-09-19,16.99,17.21,16.71,16.81,5306600
2017-09-20,16.82,16.9,16.34,16.54,3860100
2017-09-21,16.45,16.55,16.3,16.49,2645100
2017-09-22,16.35,16.59,16.31,16.41,2620800
2017-09-25,16.53,17,16.5,16.74,4676900
2017-09-26,16.77,16.85,16.4,16.54,4926200
2017-09-27,16.43,16.45,16.13,16.42,5411800
2017-09-28,16.44,16.58,16.33,16.46,2577800
2017-09-29,16.49,16.64,16.38,16.48,3500400
2017-10-02,16.46,16.6,16.26,16.6,3234600
2017-10-03,16.57,16.78,16.44,16.71,3436100
2017-10-04,16.71,16.84,16.42,16.47,4539800
2017-10-05,16.42,16.68,16.14,16.53,3085700
2017-10-06,16.48,17.14,16.42,17.02,4792400
2017-10-09,17,17.02,16.46,16.65,4269500
2017-10-10,16.63,17.12,16.63,16.84,2848400
2017-10-11,16.79,16.83,16.31,16.52,3497100
2017-10-12,16.22,16.55,16.05,16.55,4408900
2017-10-13,16.49,16.66,16.09,16.19,4235700
2017-10-16,16.18,16.37,16.1,16.25,2175200
2017-10-17,16.23,16.54,16.13,16.31,2892600
2017-10-18,16.32,16.44,16.19,16.33,3199600
2017-10-19,16.22,16.52,16.14,16.45,2325200
2017-10-20,16.55,17.61,16.53,17.48,8794400
2017-10-23,17.34,17.48,16.8,16.85,9030600
2017-10-24,16.83,16.83,16.15,16.3,6257700
2017-10-25,16.2,16.39,15.75,16.01,7618400
2017-10-26,16.01,16.49,15.82,16.38,6011800
2017-10-27,16.15,16.43,16,16.04,7746300
2017-10-30,15.64,16.68,15.53,16.41,12737500
2017-10-31,14.2,14.44,12.48,12.52,45603200
2017-11-01,12.47,12.95,11.98,12.05,27890500
2017-11-02,12.1,12.2,11.45,11.78,19193800
2017-11-03,11.76,11.81,11.51,11.61,10361900
2017-11-06,11.56,12.1,11.4,12.02,7284200
2017-11-07,12.18,12.3,11.78,11.88,7688400
2017-11-08,11.84,11.99,11.67,11.97,4825000
2017-11-09,11.98,12.28,11.74,12.01,9477800
2017-11-10,12,12.54,11.91,12.52,7865100
2017-11-13,12.5,12.66,12.06,12.17,5852800
2017-11-14,12.14,12.22,11.88,12.15,4691100
2017-11-15,12.07,12.51,11.95,12.41,4656800
2017-11-16,12.43,12.8,12.15,12.76,5012200
2017-11-17,13.03,13.28,12.99,13.08,8047500
2017-11-20,13.08,13.46,13.02,13.44,5638200
2017-11-21,13.45,13.5,12.75,12.85,6629200
2017-11-22,12.89,13.2,12.73,13.09,3745300
2017-11-24,13.14,13.25,12.92,12.99,1944900
2017-11-27,13,13.12,12.62,12.68,4111400
2017-11-28,12.75,12.96,12.6,12.88,3532700
2017-11-29,12.96,13.65,12.96,13.57,6597200
2017-11-30,13.56,13.88,13.22,13.29,5235000
2017-12-01,13.3,13.31,12.82,13.15,5880000
2017-12-04,13.33,13.49,13.28,13.35,4370000
2017-12-05,13.38,13.45,12.99,13.01,3311300
2017-12-06,13.05,13.08,12.73,12.89,3374800
2017-12-07,12.91,13.44,12.9,13.28,3625900
2017-12-08,13.31,13.69,13.16,13.63,4822200
2017-12-11,13.52,13.64,13.35,13.5,3726300
2017-12-12,13.59,13.72,13.38,13.59,3238200
2017-12-13,13.61,13.72,13.45,13.62,3057200
2017-12-14,13.71,13.88,13.52,13.82,4837600
2017-12-15,14.18,15.33,14.16,15.17,14746500
2017-12-18,15.21,15.71,14.93,15.65,8767400
2017-12-19,15.75,15.75,15.36,15.43,3594900
2017-12-20,15.38,15.47,15.04,15.17,3931200
2017-12-21,15.25,15.56,15.05,15.51,4420000
2017-12-22,15.32,15.54,15.01,15.5,4469200
2017-12-26,15.4,15.76,15.34,15.66,2999300
2017-12-27,15.72,16.19,15.7,15.73,4953000
2017-12-28,15.72,15.8,15.49,15.52,5251800
2017-12-29,15.49,15.58,14.39,14.43,16334400
