Date,Open,High,Low,Close,Volume
2012-03-15,8.95,9.32,8.86,9.32,11214600
2012-03-16,9.36,9.49,9.07,9.15,8650000
2012-03-19,9.09,9.32,9.01,9.15,7268900
2012-03-20,9.05,9.11,8.91,9.08,6951800
2012-03-21,9.12,9.16,8.88,8.88,11317500
2012-03-22,8.74,8.85,8.65,8.74,11061600
2012-03-23,8.74,8.78,8.58,8.71,9952000
2012-03-26,8.83,8.87,8.72,8.8,10083400
2012-03-27,8.85,8.9,8.71,8.74,7431100
2012-03-28,8.75,8.79,8.46,8.65,8736700
2012-03-29,8.53,8.59,8.24,8.45,8190400
2012-03-30,8.52,8.54,8.11,8.32,10529000
2012-04-02,8.32,8.46,8.22,8.38,7936200
2012-04-03,8.39,8.44,8.02,8.17,13353300
2012-04-04,8.02,8.14,7.91,8.02,10394100
2012-04-05,7.94,8.14,7.91,8.05,7204900
2012-04-09,7.83,7.85,7.65,7.69,7776600
2012-04-10,7.66,7.78,7.28,7.31,11144100
2012-04-11,7.53,7.77,7.44,7.54,11563600
2012-04-12,7.58,7.87,7.53,7.85,8539600
2012-04-13,7.71,7.76,7.54,7.65,9336800
2012-04-16,7.72,7.81,7.5,7.62,6474300
2012-04-17,7.72,7.79,7.62,7.7,5227800
2012-04-18,6.6,6.6,5.83,5.87,75351400
2012-04-19,6.01,6.21,5.94,6.04,43385500
2012-04-20,6.08,6.2,6.01,6.06,14351100
2012-04-23,5.93,6.07,5.86,6.06,19493900
2012-04-24,6.02,6.18,5.97,6.04,14909800
2012-04-25,6.12,6.13,5.7,5.87,20797800
2012-04-26,5.86,5.97,5.81,5.95,11833900
2012-04-27,5.98,6.01,5.81,5.99,10422000
2012-04-30,5.97,6.05,5.9,6.01,8568800
2012-05-01,6.03,6.21,5.98,6.15,15242900
2012-05-02,6.43,6.5,6.04,6.14,28221300
2012-05-03,6.15,6.19,5.78,5.83,13929700
2012-05-04,5.8,5.85,5.67,5.8,8986000
2012-05-07,5.69,5.8,5.5,5.8,13151200
2012-05-08,5.8,5.84,5.63,5.82,10120600
2012-05-09,5.69,5.69,5.54,5.61,10915900
2012-05-10,5.68,5.75,5.63,5.67,6804700
2012-05-11,5.59,5.88,5.56,5.85,9536800
2012-05-14,5.72,5.77,5.66,5.73,8242000
2012-05-15,5.73,5.76,5.49,5.5,13350000
2012-05-16,5.54,5.65,5.1,5.11,15431300
2012-05-17,5.1,5.14,4.87,4.98,15561100
2012-05-18,5.05,5.07,4.82,4.88,8988600
2012-05-21,4.94,5.11,4.88,5.1,6452100
2012-05-22,5.16,5.51,5.11,5.25,10586100
2012-05-23,5.16,5.26,5.04,5.24,9900000
2012-05-24,5.28,5.32,5.08,5.25,5413200
2012-05-25,5.24,5.28,5.13,5.19,3967700
2012-05-29,5.29,5.48,5.25,5.44,4833700
2012-05-30,5.34,5.37,5.21,5.28,5531800
2012-05-31,5.27,5.31,5.11,5.24,7131700
2012-06-01,5.07,5.24,5.01,5.13,10782700
2012-06-04,5.1,5.17,5.03,5.05,8735700
2012-06-05,5.06,5.19,5.03,5.1,8007800
2012-06-06,5.21,5.48,5.16,5.44,7447400
2012-06-07,5.57,5.66,5.35,5.39,5831500
2012-06-08,5.35,5.39,5.21,5.38,4919100
2012-06-11,5.48,5.5,5.07,5.08,6995400
2012-06-12,5.09,5.22,5.09,5.18,5554100
2012-06-13,5.16,5.25,5.1,5.12,7149100
2012-06-14,5.15,5.24,5.11,5.17,7376900
2012-06-15,5.22,5.37,5.16,5.37,6703900
2012-06-18,5.29,5.32,5.2,5.23,5537300
2012-06-19,5.28,5.54,5.24,5.48,6194400
2012-06-20,5.49,5.56,5.36,5.48,5012200
2012-06-21,5.48,5.52,5.14,5.15,5691600
2012-06-22,5.21,5.27,5.12,5.17,6062100
2012-06-25,5.1,5.1,4.89,4.89,7279000
2012-06-26,4.92,5,4.89,4.94,5454900
2012-06-27,4.97,5.09,4.91,4.91,8786000
2012-06-28,4.9,5.46,4.8,5.43,19957800
2012-06-29,5.6,5.79,5.48,5.66,13698300
2012-07-02,5.74,5.79,5.61,5.71,5415200
2012-07-03,5.7,5.97,5.7,5.89,5796100
2012-07-05,5.84,5.87,5.6,5.61,5366600
2012-07-06,5.51,5.6,5.44,5.56,5913800
2012-07-09,5.53,5.59,5.33,5.41,4220300
2012-07-10,5.47,5.53,5.15,5.21,5984400
2012-07-11,5.21,5.3,5.17,5.23,4505300
2012-07-12,5.15,5.18,5.01,5.08,6206800
2012-07-13,5.1,5.35,5.09,5.32,5957000
2012-07-16,5.28,5.39,5.23,5.31,5067400
2012-07-17,5.33,5.39,5.19,5.3,5199900
2012-07-18,5.25,5.27,5.08,5.12,6874500
2012-07-19,5.14,5.2,5,5.06,6861700
2012-07-20,5.01,5.01,4.78,4.79,8325600
2012-07-23,4.72,4.83,4.62,4.83,5699200
2012-07-24,4.84,4.85,4.65,4.79,6575600
2012-07-25,4.82,4.9,4.65,4.67,6379500
2012-07-26,4.83,4.85,4.62,4.77,6162500
2012-07-27,4.87,5.15,4.8,5.07,10510900
2012-07-30,5.08,5.17,4.99,5.1,6172500
2012-07-31,5.09,5.13,4.98,5.04,9111100
2012-08-01,5.34,5.35,4.42,4.48,36048600
2012-08-02,4.41,4.49,4.06,4.12,23809400
2012-08-03,4.32,4.4,4.25,4.32,19192500
2012-08-06,4.35,4.44,4.31,4.39,7554500
2012-08-07,4.44,4.59,4.43,4.5,6740300
2012-08-08,4.47,4.79,4.43,4.61,10981500
2012-08-09,4.67,4.83,4.64,4.8,7628100
2012-08-10,4.75,4.91,4.73,4.84,6392400
2012-08-13,4.8,4.97,4.76,4.83,4656100
2012-08-14,4.88,5.02,4.83,4.89,7812400
2012-08-15,4.9,5.07,4.87,4.99,6013600
2012-08-16,5.02,5.19,5.02,5.17,7440500
2012-08-17,5.19,5.29,5.18,5.25,9006800
2012-08-20,5.25,5.39,5.21,5.34,7351000
2012-08-21,5.41,5.57,5.4,5.45,15847500
2012-08-22,5.45,5.53,5.28,5.38,9787600
2012-08-23,5.35,5.4,5.24,5.24,5350000
2012-08-24,5.22,5.49,5.14,5.41,8480000
2012-08-27,5.43,5.47,5.25,5.26,6112400
2012-08-28,5.25,5.36,5.23,5.27,5153500
2012-08-29,5.27,5.35,5.24,5.34,5467500
2012-08-30,5.27,5.3,5.15,5.21,5697100
2012-08-31,5.3,5.33,5.23,5.29,7312500
2012-09-04,5.27,5.3,5.15,5.25,6766100
2012-09-05,5.23,5.28,5.14,5.17,5071500
2012-09-06,5.23,5.49,5.21,5.45,10708200
2012-09-07,5.47,5.67,5.45,5.65,7900400
2012-09-10,5.65,5.82,5.63,5.72,8903500
2012-09-11,5.71,5.84,5.66,5.76,6005200
2012-09-12,5.8,5.89,5.7,5.71,8387600
2012-09-13,5.73,5.9,5.61,5.89,11137900
2012-09-14,5.76,6.13,5.6,6.12,13253000
2012-09-17,6.07,6.15,5.95,6,7067300
2012-09-18,6,6,5.82,5.87,7763100
2012-09-19,5.91,5.98,5.84,5.89,9886400
2012-09-20,5.82,5.87,5.66,5.83,8639000
2012-09-21,5.9,5.92,5.61,5.66,11040900
2012-09-24,5.62,5.64,5.51,5.55,6602900
2012-09-25,5.57,5.6,5.16,5.17,12134000
2012-09-26,5.16,5.3,5.07,5.23,7658900
2012-09-27,5.29,5.33,5.15,5.23,8821800
2012-09-28,5.19,5.28,5.1,5.23,11943600
2012-10-01,5.25,5.26,5.11,5.13,10415800
2012-10-02,5.18,5.22,5.08,5.16,6297000
2012-10-03,5.16,5.19,5.07,5.16,6177000
2012-10-04,5.19,5.33,5.12,5.21,11526300
2012-10-05,5.35,5.48,5.26,5.39,9708400
2012-10-08,5.37,5.45,5.31,5.42,4465200
2012-10-09,5.43,5.5,5.36,5.44,7748400
2012-10-10,5.43,5.5,5.37,5.47,9342600
2012-10-11,5.55,5.64,5.4,5.49,8364000
2012-10-12,5.45,5.55,5.21,5.47,13396500
2012-10-15,5.47,5.57,5.44,5.51,6344800
2012-10-16,5.57,5.74,5.57,5.7,6276900
2012-10-17,5.71,5.86,5.7,5.79,7999400
2012-10-18,5.8,5.92,5.74,5.81,7676300
2012-10-19,5.79,5.83,5.53,5.63,9418000
2012-10-22,5.59,5.75,5.52,5.71,6923900
2012-10-23,5.56,5.57,5.42,5.49,8851700
2012-10-24,5.54,5.55,5.4,5.41,5140300
2012-10-25,5.53,5.66,5.48,5.64,5667900
2012-10-26,5.61,5.7,5.45,5.48,6172000
2012-10-31,5.76,6.04,5.71,5.96,13500100
2012-11-01,6.02,6.3,6,6.22,15518400
2012-11-02,6.28,6.3,5.92,6.06,10681000
2012-11-05,6.06,6.12,5.94,5.98,10471300
2012-11-06,6.09,6.18,5.96,6,13291600
2012-11-07,5.83,5.91,5.64,5.65,15154300
2012-11-08,5.67,5.81,5.54,5.56,10739100
2012-11-09,5.54,5.73,5.54,5.61,13382100
2012-11-12,5.64,5.71,5.54,5.54,5680900
2012-11-13,5.5,5.58,5.4,5.4,10527000
2012-11-14,5.41,5.5,5.22,5.29,9414400
2012-11-15,5.19,5.4,5.1,5.29,12977200
2012-11-16,5.3,5.42,5.21,5.38,12162300
2012-11-19,5.51,5.63,5.41,5.57,9426000
2012-11-20,5.56,5.61,5.44,5.6,7358600
2012-11-21,5.6,5.69,5.54,5.66,7302900
2012-11-23,5.69,5.74,5.6,5.65,3182200
2012-11-26,5.6,5.63,5.46,5.58,9387300
2012-11-27,5.59,5.75,5.56,5.62,8198000
2012-11-28,5.53,5.85,5.5,5.85,10485000
2012-11-29,5.91,5.96,5.85,5.87,10336600
2012-11-30,5.92,5.96,5.85,5.95,26440100
2012-12-03,5.98,6.01,5.85,5.89,8285400
2012-12-04,5.9,6.01,5.86,5.99,11905200
2012-12-05,5.99,6.12,5.92,6.08,12203200
2012-12-06,6.07,6.43,6.04,6.41,16237200
2012-12-07,6.5,6.69,6.48,6.61,15765800
2012-12-10,6.6,6.74,6.51,6.72,11460100
2012-12-11,6.9,7.13,6.8,6.9,18373700
2012-12-12,6.96,7.03,6.88,6.97,10247400
2012-12-13,7.01,7.19,6.96,6.96,10899500
2012-12-14,6.96,7.03,6.9,6.96,7692400
2012-12-17,7.01,7.12,7,7.12,8240600
2012-12-18,7.16,7.36,6.99,7.34,18953100
2012-12-19,7.41,7.47,7.24,7.32,8730700
2012-12-20,7.34,7.4,7.2,7.35,9401100
2012-12-21,7.22,7.22,7,7.05,13667000
2012-12-24,7.05,7.11,6.98,7.09,3030100
2012-12-26,7.12,7.32,7.1,7.3,6280600
2012-12-27,7.31,7.35,7.09,7.25,7801600
2012-12-28,7.17,7.3,7.1,7.22,5181200
2012-12-31,7.22,7.53,7.15,7.51,9357900
