Date,Open,High,Low,Close,Volume
2018-06-29,46.13,47.49,46.13,46.75,4915100
2018-07-02,46.12,46.43,44.37,44.68,4250600
2018-07-03,45.56,46.74,45.32,45.78,2373600
2018-07-05,45.94,46.52,45.74,46.33,4143000
2018-07-06,45.95,47.11,45.64,46.91,2691500
2018-07-09,47.33,48.52,47.02,48.4,4284100
2018-07-10,48.9,49.59,47.87,48.61,2983400
2018-07-11,48.03,48.74,47.26,47.68,2785600
2018-07-12,47.2,47.4,46.05,47.07,2867200
2018-07-13,46.92,48.2,46.75,47.45,2749200
2018-07-16,46.55,46.65,45.32,46,3221600
2018-07-17,45.51,45.77,44.99,45.26,2654500
2018-07-18,44.61,44.76,43.89,44.46,3590400
2018-07-19,44.26,44.7,44.13,44.55,2541800
2018-07-20,44.45,44.55,43.69,44.38,2039300
2018-07-23,44.91,45.42,44.28,44.35,1857800
2018-07-24,44.39,45.54,44.38,45.05,2302100
2018-07-25,45.15,45.99,44.89,45.7,2066500
2018-07-26,45.8,46.13,45.44,45.72,1960900
2018-07-27,45.29,46.03,44.66,45.01,2691600
2018-07-30,45.6,46.38,45.6,46.06,2027400
2018-07-31,46.15,46.41,45.12,46,1847500
2018-08-01,45.52,45.53,44.29,44.94,4473700
2018-08-02,44.27,45.61,42.63,44.41,5896500
2018-08-03,44.43,45.19,44.37,45.15,2829100
2018-08-06,45.21,46.12,44.86,45.64,1924900
2018-08-07,46.29,46.89,45.89,46.38,2509700
2018-08-08,45.99,46.39,45.42,46.13,2367500
2018-08-09,45.12,45.79,42.27,43.29,9334500
2018-08-10,42.89,44.22,42.53,44.17,3490300
2018-08-13,44.13,44.82,43.65,43.69,2787800
2018-08-14,44.22,44.8,43.85,43.9,1589200
2018-08-15,43.25,43.35,41.76,41.98,3975000
2018-08-16,42.38,42.7,41.74,42.17,2560600
2018-08-17,42.46,42.7,41.78,42,2247100
2018-08-20,41.81,42.41,41.68,42.03,1887000
2018-08-21,42.43,42.92,42.34,42.67,1938700
2018-08-22,43.12,43.52,42.96,43.28,1929900
2018-08-23,43,43.12,42.5,42.86,1735700
2018-08-24,43.33,43.89,43.23,43.49,1589100
2018-08-27,43.54,43.87,43.41,43.77,1528300
2018-08-28,43.74,43.77,42.73,42.76,2099400
2018-08-29,42.98,44,42.67,43.73,3175300
2018-08-30,43.74,44.54,43.61,44.38,3047300
2018-08-31,44.07,44.22,43.41,43.83,2096300
2018-09-04,44.02,44.1,42.98,43.18,1651900
2018-09-05,42.87,44.13,42.5,43.92,2554500
2018-09-06,43.75,43.94,42.6,42.66,2355700
2018-09-07,42.23,42.92,41.82,42.87,2112500
2018-09-10,43.17,43.83,42.98,43.31,1847700
2018-09-11,43.13,44.28,43.07,44.09,2100900
2018-09-12,44.63,45.46,44.57,45.13,2797300
2018-09-13,44.94,45,43.61,44.54,2481700
2018-09-14,44.47,45.98,44.43,45.46,2866500
2018-09-17,45.75,46.46,45.54,45.78,2839800
2018-09-18,46.18,46.81,45.88,46.26,2650800
2018-09-19,46.07,47.1,46.07,46.8,2524200
2018-09-20,47.19,47.48,45.5,45.67,3571400
2018-09-21,46.01,46.61,45.6,45.96,5069800
2018-09-24,46.81,48.03,46.81,47.48,4474000
2018-09-25,47.96,48.72,47.57,47.78,3386200
2018-09-26,47.3,48.23,47.07,47.23,3180300
2018-09-27,47.72,47.75,47.02,47.43,2257000
2018-09-28,47.02,48.16,47.02,47.67,3294500
2018-10-01,47.67,48.88,47.6,48.36,2621500
2018-10-02,48.55,48.69,47.97,48.55,1973700
2018-10-03,48.74,49.07,48.35,48.88,3140300
2018-10-04,48.5,49.56,48.31,48.48,3593200
2018-10-05,48.53,48.87,47.53,47.98,2973800
2018-10-08,47.56,48.42,47.06,48,3133400
2018-10-09,48.45,50.03,48.19,49.3,4394000
2018-10-10,48.95,49.17,46.33,46.4,5432600
2018-10-11,46.12,46.12,44.18,44.63,4574500
2018-10-12,45.44,45.56,44.03,45.13,4141800
2018-10-15,45.35,45.8,44.5,44.57,2758300
2018-10-16,44.89,44.96,44.23,44.51,3443700
2018-10-17,44.39,44.53,42.82,43.28,4704200
2018-10-18,42.58,42.91,41.91,42.33,3231900
2018-10-19,42.05,42.7,41.75,42.1,3168200
2018-10-22,42.1,42.14,40.98,41.29,3150200
2018-10-23,40.38,40.38,38.98,39.78,3607900
2018-10-24,40.27,40.4,37.9,37.97,3539700
2018-10-25,38.51,38.91,37.74,38.15,3493600
2018-10-26,37.58,37.92,36.6,37.39,3236900
2018-10-29,37.64,37.9,35.6,36.18,3900600
2018-10-30,35.75,37.52,35.67,37.45,4800200
2018-10-31,37.9,39.06,37.7,37.83,4849800
2018-11-01,37.7,38.88,35.69,36.39,9358300
2018-11-02,37.01,37.47,35.5,35.94,7143500
2018-11-05,36.68,37.86,36.64,37.58,4114200
2018-11-06,37.78,38,36.91,37.34,2882500
2018-11-07,38.09,38.62,37.34,37.81,3639400
2018-11-08,37.44,37.83,35.92,36.02,4197500
2018-11-09,35.13,37.41,35.02,37.08,7827900
2018-11-12,37.55,37.63,36.01,36.05,3800800
2018-11-13,36.07,36.86,35.2,35.24,5263900
2018-11-14,36.24,36.83,35.69,36.12,5550900
2018-11-15,35.87,37.27,35.74,36.99,4427500
2018-11-16,37.07,37.64,36.7,37.43,4361000
2018-11-19,36.89,37.41,36.37,36.53,3346500
2018-11-20,35.62,35.93,34.28,34.67,5721300
2018-11-21,35,36.79,34.99,36.03,3388600
2018-11-23,34.75,35.09,34.2,34.86,1860700
2018-11-26,35.36,35.9,34.96,35.37,4751800
2018-11-27,35.22,35.54,34.73,35.08,4032400
2018-11-28,35.06,35.6,34.58,35.26,4005800
2018-11-29,35.45,36.13,35.21,35.54,3084200
2018-11-30,35.02,35.2,34.24,35.13,5394900
2018-12-03,36.4,37.09,36.03,36.49,3678700
2018-12-04,36.4,36.57,34.94,35.04,3611900
2018-12-06,34.17,34.23,32.97,33.9,5646100
2018-12-07,34.89,35.32,32.96,33.01,5157100
2018-12-10,32.57,32.92,30.54,31.26,6758300
2018-12-11,31.7,31.99,29.88,30.57,6854300
2018-12-12,31.08,32.25,31,31.33,6013900
2018-12-13,31.14,31.54,30.3,31.3,5957200
2018-12-14,30.92,31.48,30.08,30.24,6897400
2018-12-17,30.05,30.87,29.95,30.17,6619800
2018-12-18,30.16,30.31,29.05,29.24,8197000
2018-12-19,29.46,30.18,28.54,28.75,5916500
2018-12-20,28.3,29.05,26.84,27,6196900
2018-12-21,26.86,27.5,26.31,26.55,9967600
2018-12-24,26.17,26.33,25.26,25.4,3044500
2018-12-26,25.65,27.06,24.56,27.04,7648400
2018-12-27,26.5,26.74,25.61,26.74,5420500
2018-12-28,27.01,27.15,26.26,26.34,4855100
2018-12-31,26.5,26.94,25.94,26.25,4429900
