Date,Open,High,Low,Close,Volume
2014-05-14,49.08,49.23,48.73,48.86,1356600
2014-05-15,48.86,48.86,47.77,48.43,1318500
2014-05-16,48.37,48.58,47.84,48.26,1834000
2014-05-19,48.3,48.9,48.1,48.89,804400
2014-05-20,48.96,49.1,48.41,48.58,895200
2014-05-21,48.76,49.32,48.6,49.19,952600
2014-05-22,49.19,49.71,49.18,49.26,802400
2014-05-23,49.26,49.96,49.23,49.92,883300
2014-05-27,50,50.06,49.27,49.92,1645600
2014-05-28,49.92,50.22,49.64,50.01,1054400
2014-05-29,50.24,50.59,50.01,50.34,1306400
2014-05-30,50.21,50.43,49.79,50.08,979100
2014-06-02,50.07,50.08,49.64,49.97,928500
2014-06-03,49.73,50.53,49.73,50.33,1325500
2014-06-04,50.08,50.3,49.85,50.12,851200
2014-06-05,50.27,50.81,50.04,50.68,756500
2014-06-06,50.92,51.29,50.79,51.05,726100
2014-06-09,51.07,51.35,50.82,51.27,901200
2014-06-10,51.07,51.3,50.81,51.11,751800
2014-06-11,50.94,51.43,50.73,51.32,797800
2014-06-12,51.16,51.32,50.62,50.7,1075500
2014-06-13,50.94,51.35,50.67,50.81,619700
2014-06-16,50.69,51.15,50.45,51.1,772300
2014-06-17,51.11,51.5,51,51.38,719500
2014-06-18,51.52,51.63,51.05,51.61,1031800
2014-06-19,51.74,51.93,51.29,51.48,907900
2014-06-20,51.41,51.45,50.65,50.78,3925300
2014-06-23,50.87,51.26,50.62,51.24,765900
2014-06-24,51.78,51.95,51.01,51.09,850500
2014-06-25,50.81,51.08,50.51,50.92,630400
2014-06-26,50.93,51.12,50.43,50.73,564500
2014-06-27,49.65,49.87,48.35,48.76,2880900
2014-06-30,48.59,49.19,48.37,48.81,1313500
2014-07-01,48.8,49.08,48.57,48.67,1114500
2014-07-02,48.66,49.53,48.5,49.46,839900
2014-07-03,49.49,50.38,49.49,50.2,495200
2014-07-07,50.31,50.31,49.54,49.61,732300
2014-07-08,49.41,49.6,48.91,49.38,1505400
2014-07-09,49.4,49.75,49.27,49.51,887500
2014-07-10,48.95,49.79,48.9,49.4,968000
2014-07-11,49.34,49.59,49.14,49.26,947100
2014-07-14,49.63,50.42,49.63,50.06,1001500
2014-07-15,50.15,50.54,49.84,49.87,761300
2014-07-16,50.01,50.18,49.53,49.6,750600
2014-07-17,49.36,49.79,48.76,48.91,1113800
2014-07-18,49.09,49.62,48.95,49.42,563900
2014-07-21,49.64,49.64,48.82,49.15,573200
2014-07-22,49.43,49.99,49.31,49.58,1053600
2014-07-23,49.61,49.78,48.56,48.59,1497300
2014-07-24,48.86,49.97,48.62,49.83,2273500
2014-07-25,52.5,56.33,51.76,55.59,6441100
2014-07-28,55.36,55.37,53.92,53.97,2188000
2014-07-29,54.24,54.53,53.78,53.79,1711500
2014-07-30,54.02,54.48,53.71,54.33,1462200
2014-07-31,53.92,54.72,53.66,54.05,1614600
2014-08-01,54.41,54.5,52.75,53.2,1318800
2014-08-04,53.53,55.6,53.2,54.55,2452000
2014-08-05,54.3,55.11,53.87,54.57,1475200
2014-08-06,54.52,55.31,54.22,54.81,1120500
2014-08-07,54.87,55,54.22,54.45,1013300
2014-08-08,54.47,54.88,54.37,54.62,745100
2014-08-11,54.89,55.42,54.83,54.86,896900
2014-08-12,54.85,55.76,54.74,55.06,1229800
2014-08-13,55.11,55.57,55.01,55.42,737000
2014-08-14,55.55,55.94,55.3,55.49,837900
2014-08-15,55.74,56.32,55.46,55.74,1146500
2014-08-18,56.2,56.47,55.9,56.01,730800
2014-08-19,56.04,56.3,55.66,55.92,656400
2014-08-20,55.72,56.46,55.51,56.33,500100
2014-08-21,56.02,57.17,55.76,56.47,1092100
2014-08-22,56.67,56.74,55.28,56.3,1370100
2014-08-25,56.52,56.99,56.12,56.6,828700
2014-08-26,56.52,57.23,56.29,57.17,886500
2014-08-27,57,57.31,56.28,56.46,642200
2014-08-28,55.94,56.73,55.9,56.47,614800
2014-08-29,56.55,57.43,56.55,57.08,827600
2014-09-02,57.38,57.57,56.87,57.19,1503200
2014-09-03,57.29,57.49,56.63,56.73,1185200
2014-09-04,56.79,57.4,56.59,57.05,849300
2014-09-05,56.91,57.28,56.84,57.23,697800
2014-09-08,57.09,57.43,56.69,56.85,1687200
2014-09-09,56.9,56.98,55.91,55.94,1648900
2014-09-10,56.07,56.59,55.95,56.46,1854600
2014-09-11,56.33,56.72,56.19,56.53,1285500
2014-09-12,56.13,56.75,56.07,56.15,764700
2014-09-15,56.23,56.74,55.5,55.58,1159700
2014-09-16,55.44,55.94,55.11,55.75,981900
2014-09-17,55.68,56.24,55.45,55.64,1134500
2014-09-18,55.95,56.17,55.46,55.79,1294900
2014-09-19,55.76,55.94,54.81,55.84,4414700
2014-09-22,55.79,56.25,55.33,55.54,1160300
2014-09-23,55.35,55.71,55.22,55.33,751800
2014-09-24,55.45,56.4,55.37,56.21,877800
2014-09-25,55.9,56.15,55.17,55.29,1176500
2014-09-26,55.34,55.69,55.16,55.49,667100
2014-09-29,55.03,55.57,54.89,55.21,948400
2014-09-30,55.27,55.61,55.06,55.12,804100
2014-10-01,55.01,55.11,54.05,54.31,885900
2014-10-02,54.49,56.06,54.32,55.52,1484000
2014-10-03,55.96,56.4,55.52,56.02,726700
2014-10-06,56.31,56.45,55.43,55.83,539100
2014-10-07,55.56,55.97,55,55.01,642600
2014-10-08,55.11,56.3,54.83,56.13,649700
2014-10-09,55.91,56.25,55.15,55.25,572900
2014-10-10,55.13,55.71,53.87,53.87,1032500
2014-10-13,53.86,54.54,53.04,53.68,1028500
2014-10-14,54.14,54.68,53.53,53.63,1168600
2014-10-15,53.17,53.66,52.33,53.14,1226400
2014-10-16,52.29,54.08,52.1,53.75,987900
2014-10-17,54.57,55.06,54,54.24,866400
2014-10-20,53.91,55.23,53.33,55.17,599300
2014-10-21,55.38,56.74,54.98,56.61,989200
2014-10-22,56.7,57.01,55.14,55.19,1081000
2014-10-23,55.42,56.42,55.03,56.34,1297600
2014-10-24,56.44,59.85,56.43,58.55,1866700
2014-10-27,58.37,59.2,58.21,58.64,1036100
2014-10-28,58.75,59.28,58.45,59.04,1118700
2014-10-29,58.93,59.27,58.33,58.73,762700
2014-10-30,58.42,58.98,57.73,58.79,860200
2014-10-31,59.46,59.83,59.2,59.76,1313200
2014-11-03,59.67,60.18,59.49,59.56,675700
2014-11-04,58.85,59.28,58.19,58.79,1308600
2014-11-05,59.09,59.35,58.61,59.24,732300
2014-11-06,59.36,60.25,59.14,59.81,1395800
2014-11-07,59.77,60.03,59.26,59.8,798400
2014-11-10,59.71,60.72,59.51,60.47,1330500
2014-11-11,60.53,60.59,59.85,59.93,723600
2014-11-12,59.59,60.39,59.5,60.36,578500
2014-11-13,60.3,60.54,59.78,60.19,508400
2014-11-14,59.95,60.81,59.93,60.68,697600
2014-11-17,60.68,61.23,60.4,60.66,969500
2014-11-18,60.57,61.25,60.47,60.6,1162400
2014-11-19,59.99,59.99,59.2,59.38,1107600
2014-11-20,59.24,59.98,59.06,59.73,934000
2014-11-21,60.35,60.35,59.81,59.9,980800
2014-11-24,60.19,60.41,59.92,60.24,800800
2014-11-25,60.23,60.29,59.56,59.87,1254300
2014-11-26,60,60.25,59.82,60.07,857900
2014-11-28,60,60.4,59.98,60.1,566400
2014-12-01,59.67,60.03,58.7,58.71,898600
2014-12-02,58.6,59,58.24,58.73,1202900
2014-12-03,58.46,59.31,58.31,58.65,1036200
2014-12-04,58.59,59.3,58.32,59.04,749900
2014-12-05,59.14,59.54,58.63,58.82,708800
2014-12-08,58.73,59.23,57.4,57.5,1143700
2014-12-09,56.86,57.47,56.66,57.38,1323400
2014-12-10,57.08,57.64,56.37,56.65,996400
2014-12-11,56.96,57.93,56.81,57.49,1185600
2014-12-12,57.13,57.65,56.68,56.98,814900
2014-12-15,57.32,57.68,56.31,56.49,1115500
2014-12-16,56.33,56.92,55.53,55.54,1035800
2014-12-17,55.57,56.44,55.42,56.26,922500
2014-12-18,57,57.37,56.66,57.3,1555500
2014-12-19,57.5,58.56,57.5,58.29,2513200
2014-12-22,58.5,58.97,58.22,58.49,864700
2014-12-23,58.58,58.95,58.39,58.46,469400
2014-12-24,58.51,58.72,58.28,58.28,199900
2014-12-26,58.32,58.9,58.32,58.58,346800
2014-12-29,58.49,58.52,57.84,57.86,536400
2014-12-30,57.54,58.03,57.36,57.44,598700
2014-12-31,57.72,57.9,56.95,57,533600
