Date,Open,High,Low,Close,Volume
2012-05-29,7.7,8.07,7.7,7.8,32400
2012-05-30,7.79,7.81,7,7.01,69700
2012-05-31,7.12,7.45,6.85,6.9,43000
2012-06-01,7.43,7.92,5.83,5.95,175000
2012-06-04,5.98,5.98,4.9,4.96,127200
2012-06-05,5.19,5.7,5.05,5.33,204500
2012-06-06,5.45,6.7,5.39,6.69,107700
2012-06-07,6.76,6.98,6.16,6.6,84600
2012-06-08,6.54,7.16,6.34,6.98,106400
2012-06-11,7.27,7.33,6.19,6.45,124800
2012-06-12,6.54,7.08,6.51,7.08,56600
2012-06-13,6.98,7.3,6.87,7.02,90500
2012-06-14,6.97,7.27,6.97,7.24,95500
2012-06-15,7.23,7.35,6.75,7.01,153300
2012-06-18,7.08,7.25,6.87,6.95,106000
2012-06-19,7,7.12,6.75,7,83100
2012-06-20,7,7.07,6.58,6.8,101600
2012-06-21,6.82,6.82,6.52,6.6,75500
2012-06-22,6.66,6.71,6.2,6.61,989300
2012-06-25,6.51,6.58,6.17,6.28,113500
2012-06-26,6.31,6.46,5.95,5.99,95800
2012-06-27,5.97,5.99,5.62,5.85,152400
2012-06-28,5.82,6.37,5.68,6.29,162400
2012-06-29,6.42,6.62,6.06,6.22,266700
2012-07-02,6.22,6.6,5.85,6.19,97100
2012-07-03,5.77,6.27,5.77,6.19,56600
2012-07-05,6.15,6.36,6.08,6.19,52000
2012-07-06,6.34,6.34,5.97,6.24,89900
2012-07-09,6.22,6.43,6.15,6.2,97300
2012-07-10,6.32,6.34,5.77,5.81,81400
2012-07-11,5.81,6.02,5.62,5.74,104000
2012-07-12,5.7,5.95,5.4,5.49,134600
2012-07-13,5.5,6.12,5.5,6.04,154400
2012-07-16,6.28,6.37,5.66,5.67,52900
2012-07-17,5.76,5.79,5.6,5.65,46500
2012-07-18,5.66,5.99,5.63,5.97,49200
2012-07-19,6.07,6.07,5.75,5.88,94400
2012-07-20,5.96,6.33,5.95,6.1,144300
2012-07-23,6.03,6.25,6.03,6.21,41600
2012-07-24,6.23,6.25,5.76,5.83,74100
2012-07-25,5.87,6.01,5.65,5.76,63400
2012-07-26,5.81,5.92,5.64,5.87,96900
2012-07-27,5.93,5.93,5.77,5.84,21300
2012-07-30,5.89,6.23,5.76,5.9,72100
2012-07-31,5.91,5.91,5.63,5.81,66000
2012-08-01,5.87,6.12,5.63,5.64,30400
2012-08-02,5.63,5.89,5.61,5.78,23900
2012-08-03,5.89,6.06,5.65,6.03,26900
2012-08-06,6.02,6.33,5.99,6.33,28900
2012-08-07,6.25,6.89,6.22,6.67,194500
2012-08-08,6.59,6.59,4.81,5.07,633000
2012-08-09,5.43,5.75,5.19,5.56,211200
2012-08-10,5.58,5.86,5.55,5.63,90800
2012-08-13,5.65,5.72,5.01,5.07,145000
2012-08-14,5.07,5.32,5.06,5.17,128700
2012-08-15,5.17,5.21,4.66,5.04,153500
2012-08-16,5.04,5.18,5,5.06,35100
2012-08-17,5.1,5.33,5.07,5.26,96500
2012-08-20,5.32,5.32,5.03,5.23,39000
2012-08-21,5.25,5.36,5,5.14,95700
2012-08-22,5.05,5.13,4.99,5,69500
2012-08-23,4.99,5.09,4.88,4.97,53100
2012-08-24,4.96,5.08,4.88,4.94,94600
2012-08-27,4.98,5.19,4.93,5.1,47900
2012-08-28,5.16,5.22,5.01,5.01,93600
2012-08-29,5.06,5.23,5.04,5.11,91000
2012-08-30,5.37,5.37,4.89,4.9,139400
2012-08-31,4.99,4.99,4.91,4.96,62900
2012-09-04,4.98,5.1,4.83,4.96,198700
2012-09-05,4.98,5.39,4.83,5.28,208100
2012-09-06,5.33,5.33,4.95,4.98,168000
2012-09-07,5.02,5.02,4.32,4.53,537400
2012-09-10,4.55,4.87,4.55,4.61,112500
2012-09-11,4.68,4.81,4.66,4.68,50900
2012-09-12,4.68,4.85,4.6,4.84,63800
2012-09-13,4.89,5.02,4.83,4.9,99800
2012-09-14,4.93,5.24,4.93,5.22,90500
2012-09-17,5.16,5.18,4.99,4.99,118800
2012-09-18,5.01,5.14,4.95,4.97,81100
2012-09-19,5.01,5.25,4.98,5.11,162800
2012-09-20,5.05,5.21,5.05,5.12,95100
2012-09-21,5.21,5.22,5.11,5.11,118000
2012-09-24,5.09,5.17,4.66,4.88,94200
2012-09-25,4.92,4.92,4.7,4.75,256100
2012-09-26,4.79,4.88,4.68,4.75,123300
2012-09-27,4.81,4.81,4.58,4.6,303300
2012-09-28,4.5,4.51,4.05,4.14,343500
2012-10-01,4.2,4.29,3.88,3.89,242800
2012-10-02,3.94,4.07,3.81,3.84,155100
2012-10-03,3.89,4.09,3.85,3.94,93300
2012-10-04,3.95,3.95,3.78,3.85,82300
2012-10-05,3.85,3.92,3.62,3.65,86700
2012-10-08,3.66,3.75,3.55,3.64,134700
2012-10-09,3.64,3.69,3.22,3.33,206500
2012-10-10,3.37,3.37,3.08,3.15,147600
2012-10-11,3.2,3.35,3.08,3.32,367800
2012-10-12,3.34,3.68,3.25,3.63,163500
2012-10-15,3.68,3.87,3.63,3.8,166000
2012-10-16,3.84,3.87,3.59,3.62,280500
2012-10-17,3.67,3.85,3.51,3.76,128800
2012-10-18,3.79,3.81,3.66,3.7,67700
2012-10-19,3.65,3.84,3.4,3.7,163200
2012-10-22,3.7,3.7,3.49,3.51,54700
2012-10-23,3.48,3.48,3.3,3.42,55300
2012-10-24,3.46,3.59,3.37,3.49,19100
2012-10-25,3.55,3.69,3.53,3.64,42000
2012-10-26,3.63,3.64,3.5,3.51,33000
2012-10-31,3.57,3.77,3.46,3.67,77900
2012-11-01,3.74,3.79,3.41,3.5,104700
2012-11-02,3.64,3.64,3.31,3.33,47700
2012-11-05,3.27,3.51,3.26,3.43,81100
2012-11-06,3.6,3.75,3.3,3.52,129900
2012-11-07,3.57,3.57,3.2,3.28,115400
2012-11-08,3.32,3.72,2.37,2.45,576900
2012-11-09,2.63,2.8,2.49,2.65,502900
2012-11-12,2.7,2.7,2.37,2.42,157400
2012-11-13,2.43,2.43,2.1,2.21,352000
2012-11-14,2.86,2.86,2.06,2.11,273100
2012-11-15,2.11,2.27,1.94,2,284100
2012-11-16,2.02,2.2,1.92,1.99,233700
2012-11-19,2.04,2.26,2.02,2.22,215800
2012-11-20,2.31,2.65,2.25,2.59,256100
2012-11-21,2.62,2.83,2.43,2.73,194700
2012-11-23,2.78,2.78,2.55,2.58,56400
2012-11-26,2.58,2.86,2.58,2.81,87900
2012-11-27,2.86,2.86,2.68,2.71,101500
2012-11-28,2.7,2.72,2.54,2.58,127500
2012-11-29,2.55,2.77,2.55,2.6,125200
2012-11-30,2.6,2.83,2.55,2.79,148500
2012-12-03,2.85,3.09,2.8,2.98,175500
2012-12-04,2.98,3.09,2.83,2.88,82500
2012-12-05,3.01,3.08,2.73,2.8,108400
2012-12-06,2.76,3.3,2.6,2.72,140500
2012-12-07,2.75,3,2.6,2.67,106200
2012-12-10,2.65,2.67,2.53,2.54,96800
2012-12-11,2.57,2.93,2.51,2.91,124000
2012-12-12,2.91,3.39,2.91,3.03,213100
2012-12-13,3.03,3.11,2.91,2.95,57500
2012-12-14,2.95,3.36,2.95,3.22,161200
2012-12-17,3.32,3.39,3.21,3.35,75100
2012-12-18,3.36,3.44,3.22,3.38,129500
2012-12-19,3.47,3.47,3.04,3.18,187400
2012-12-20,3.2,3.29,3.1,3.15,123300
2012-12-21,3.09,3.1,2.9,3.03,303500
2012-12-24,3,3.12,2.94,3.09,33500
2012-12-26,3.08,3.13,2.93,3.03,64500
2012-12-27,3.08,3.97,3.08,3.51,373400
2012-12-28,3.52,3.64,3.35,3.6,249200
2012-12-31,3.57,3.83,3.51,3.65,189400
