Date,Open,High,Low,Close,Volume
2019-08-21,49.01,49.62,48.7,49.45,3975900
2019-08-22,49.76,50.64,49.38,50.34,4655000
2019-08-23,50.39,50.62,49.02,49.21,6304000
2019-08-26,49.15,49.63,48.8,49.21,4120900
2019-08-27,49.67,49.67,48.75,48.93,3338200
2019-08-28,48.82,49.23,48.46,49,2501700
2019-08-29,49.34,49.64,49.03,49.27,3029000
2019-08-30,49.57,49.58,49.04,49.47,1576700
2019-09-03,49.15,49.95,49.15,49.79,2377200
2019-09-04,49.94,50.79,49.76,50.5,3430400
2019-09-05,50.83,50.89,49.34,49.96,3909100
2019-09-06,50.13,50.54,50.04,50.13,2754700
2019-09-09,50.2,50.32,49.56,49.77,3396400
2019-09-10,49.37,49.5,48.47,49.43,4099200
2019-09-11,49.72,50.01,49.39,49.45,5276000
2019-09-12,49.76,50.62,49.69,49.77,4898400
2019-09-13,50.23,50.45,49.01,49.49,3623200
2019-09-16,49.45,49.83,48.94,49.03,5077300
2019-09-17,49.06,49.92,49.04,49.69,11185500
2019-09-18,49.66,50.42,49.25,50.36,4714900
2019-09-19,50.78,51.12,50.44,50.87,4142200
2019-09-20,50.93,51.74,50.87,51.58,5197700
2019-09-23,51.5,52.69,51.5,52.2,7215200
2019-09-24,52.19,52.52,51.75,51.93,4090300
2019-09-25,52.15,52.77,52.07,52.52,3900800
2019-09-26,52.93,53.06,51.89,52.41,2071400
2019-09-27,52.51,52.53,51.92,52.14,2212300
2019-09-30,52.23,52.94,52.22,52.71,3412800
2019-10-01,52.61,52.96,51.94,52.04,3214500
2019-10-02,52.1,52.36,50.85,51.4,5272300
2019-10-03,51.5,51.68,50.6,51.34,3730800
2019-10-04,51.51,52.76,51.49,52.54,7354800
2019-10-07,52.39,52.71,52.12,52.33,4147500
2019-10-08,52.09,53.53,52.03,52.92,3979800
2019-10-09,53.25,53.3,52.6,52.65,3327000
2019-10-10,52.46,52.59,51.76,52.5,5154100
2019-10-11,52.93,52.99,51.95,51.99,3206300
2019-10-14,52.17,52.63,52.01,52.29,1947200
2019-10-15,52.47,52.78,52.27,52.63,3204400
2019-10-16,52.73,53.7,52.39,53.67,3638700
2019-10-17,54.23,54.41,53.27,53.49,3866400
2019-10-18,53.58,54.02,53.22,53.97,3546100
2019-10-21,54.16,54.36,53.08,53.17,4397000
2019-10-22,53.8,53.8,52.95,53.3,7296200
2019-10-23,53.42,53.56,52.98,53.34,2382500
2019-10-24,53.34,54.04,53.15,53.98,2099600
2019-10-25,53.96,54.42,53.53,53.71,2934000
2019-10-28,53.52,53.67,51.72,51.82,4281600
2019-10-29,51.74,52.55,51.41,51.56,5218600
2019-10-30,51.57,52.26,50.15,52.19,7431000
2019-10-31,52.27,52.67,52.06,52.37,5146300
2019-11-01,52.5,53.33,52.36,53.3,3414400
2019-11-04,53.35,53.58,50.84,51.15,6209700
2019-11-05,51.16,51.16,50.31,50.71,6937100
2019-11-06,50.84,52.11,50.73,52.05,4830300
2019-11-07,52.05,52.24,50.2,51.03,4878200
2019-11-08,51.01,51.54,50.86,51.15,3183700
2019-11-11,51.25,52.65,51.17,52.65,4334000
2019-11-12,54.92,55.67,51.82,54.27,9582600
2019-11-13,54.28,55.33,54.05,54.33,9974700
2019-11-14,54.27,55.07,53.88,54.26,8772500
2019-11-15,54.53,54.56,53.37,53.5,5933600
2019-11-18,53.67,54.97,53.56,54.63,5334300
2019-11-19,54.64,54.83,53.9,54.14,3211300
2019-11-20,54.41,55.01,54.12,54.57,5287900
2019-11-21,54.57,55.03,53.88,53.91,2801000
2019-11-22,54.17,54.63,53.93,54.11,3934400
2019-11-25,54.13,54.85,54.13,54.82,3648800
2019-11-26,54.82,55.51,54.61,55.39,6042000
2019-11-27,55.4,55.8,55.16,55.3,6022600
2019-11-29,55.11,55.67,55.05,55.35,1853800
2019-12-02,55.28,55.34,54.33,54.85,3527700
2019-12-03,54.38,54.92,54.33,54.76,2870400
2019-12-04,54.8,55.48,54.52,55.34,3853300
2019-12-05,55.28,55.81,55.18,55.76,4135600
2019-12-06,55.14,55.44,53.85,54.2,4996400
2019-12-09,54.2,55.14,54.03,54.89,2974000
2019-12-10,54.79,55.17,54.41,55.13,2899900
2019-12-11,54.94,55.93,54.88,55.91,2366000
2019-12-12,55.71,56.12,54.35,54.36,3674700
2019-12-13,54.25,55.09,54.1,54.81,2928100
2019-12-16,54.8,55.27,54.33,54.7,4245000
2019-12-17,54.24,55.05,53.5,53.7,4547700
2019-12-18,54.13,54.25,52.43,52.79,5862700
2019-12-19,52.63,53.01,51.71,52.35,4699500
2019-12-20,52.49,53.73,52.32,53.69,5785600
2019-12-23,53.61,53.92,52.63,52.8,1953400
2019-12-24,52.94,53.29,52.75,53.2,677500
2019-12-26,53.21,53.32,52.68,53.01,1146300
2019-12-27,53.11,53.2,52.82,52.91,1584400
2019-12-30,52.8,52.85,52.07,52.55,2145500
2019-12-31,52.44,52.85,52.39,52.75,1702100
