Date,Open,High,Low,Close,Volume
2015-05-01,2.26,2.31,2.25,2.31,11662800
2015-05-04,2.31,2.36,2.3,2.31,9670100
2015-05-05,2.34,2.34,2.25,2.28,12371600
2015-05-06,2.29,2.31,2.24,2.29,18492100
2015-05-07,2.32,2.32,2.26,2.32,15015600
2015-05-08,2.33,2.36,2.3,2.31,9758800
2015-05-11,2.31,2.35,2.31,2.32,10046900
2015-05-12,2.32,2.35,2.3,2.35,10017500
2015-05-13,2.36,2.38,2.35,2.37,7575900
2015-05-14,2.38,2.39,2.33,2.33,8865100
2015-05-15,2.33,2.38,2.32,2.32,8054800
2015-05-18,2.35,2.36,2.33,2.35,4732800
2015-05-19,2.36,2.37,2.28,2.28,9588400
2015-05-20,2.3,2.33,2.28,2.32,6947700
2015-05-21,2.31,2.35,2.28,2.28,7127700
2015-05-22,2.3,2.31,2.27,2.28,12845400
2015-05-26,2.27,2.28,2.22,2.22,10007800
2015-05-27,2.24,2.28,2.2,2.28,17511000
2015-05-28,2.28,2.33,2.27,2.27,12354600
2015-05-29,2.27,2.32,2.25,2.28,7750500
2015-06-01,2.29,2.3,2.25,2.25,6803700
2015-06-02,2.26,2.3,2.25,2.3,7106000
2015-06-03,2.3,2.32,2.28,2.28,8062300
2015-06-04,2.28,2.33,2.26,2.33,11575800
2015-06-05,2.31,2.34,2.29,2.33,7349700
2015-06-08,2.31,2.33,2.29,2.31,6212900
2015-06-09,2.35,2.36,2.28,2.29,12282700
2015-06-10,2.31,2.35,2.3,2.32,8161200
2015-06-11,2.34,2.35,2.31,2.32,7671000
2015-06-12,2.31,2.33,2.3,2.31,4557600
2015-06-15,2.32,2.35,2.29,2.32,8627800
2015-06-16,2.32,2.37,2.32,2.35,9795000
2015-06-17,2.37,2.54,2.35,2.47,27497900
2015-06-18,2.5,2.59,2.48,2.52,25400200
2015-06-19,2.53,2.59,2.46,2.58,25551700
2015-06-22,2.61,2.67,2.58,2.62,19410100
2015-06-23,2.62,2.64,2.55,2.61,17919600
2015-06-24,2.6,2.66,2.57,2.62,17516700
2015-06-25,2.62,2.66,2.57,2.58,18360200
2015-06-26,2.54,2.55,2.37,2.47,97054200
2015-06-29,2.41,2.42,2.31,2.34,22971500
2015-06-30,2.43,2.43,2.35,2.4,19381300
2015-07-01,2.47,2.48,2.36,2.42,19375000
2015-07-02,2.43,2.63,2.39,2.53,31185900
2015-07-06,2.46,2.54,2.44,2.47,20349400
2015-07-07,2.04,2.14,2.02,2.09,46418700
2015-07-08,2.07,2.07,2.01,2.01,15302900
2015-07-09,2.04,2.06,1.93,1.98,23378200
2015-07-10,2,2.03,1.95,1.96,17520800
2015-07-13,1.97,1.99,1.95,1.96,9080900
2015-07-14,2.03,2.06,1.97,2.05,15812300
2015-07-15,2.07,2.09,1.95,1.96,13517800
2015-07-16,1.97,2,1.87,1.87,20653300
2015-07-17,1.87,1.9,1.74,1.79,28127100
2015-07-20,1.82,1.84,1.77,1.8,12142400
2015-07-21,1.82,1.83,1.78,1.8,15034500
2015-07-22,1.8,1.81,1.76,1.79,16043400
2015-07-23,1.8,1.81,1.75,1.76,10641900
2015-07-24,1.76,1.77,1.65,1.67,16478400
2015-07-27,1.67,1.7,1.61,1.62,11916500
2015-07-28,1.62,1.77,1.62,1.77,14614600
2015-07-29,1.77,1.99,1.76,1.96,25582200
2015-07-30,1.94,1.99,1.88,1.93,15837400
2015-07-31,1.94,1.99,1.92,1.93,7733700
2015-08-03,1.93,2.2,1.9,2.2,26218200
2015-08-04,2.18,2.18,2.05,2.13,14328400
2015-08-05,2.11,2.21,2.1,2.16,13236000
2015-08-06,2.15,2.17,2.1,2.11,9475000
2015-08-07,2.1,2.14,2.06,2.09,7680800
2015-08-10,1.92,1.98,1.82,1.93,29926200
2015-08-11,1.91,1.93,1.88,1.9,7479200
2015-08-12,1.88,1.93,1.84,1.9,8521200
2015-08-13,1.9,1.91,1.79,1.79,7839700
2015-08-14,1.8,1.85,1.79,1.84,6183400
2015-08-17,1.82,1.88,1.8,1.8,9062400
2015-08-18,1.79,1.82,1.75,1.8,9751900
2015-08-19,1.8,1.81,1.76,1.8,7441200
2015-08-20,1.79,1.8,1.7,1.7,13745700
2015-08-21,1.68,1.8,1.68,1.78,12529500
2015-08-24,1.69,1.83,1.65,1.75,17217400
2015-08-25,1.82,1.82,1.66,1.66,12097700
2015-08-26,1.69,1.73,1.66,1.72,10715300
2015-08-27,1.74,1.84,1.74,1.78,11839300
2015-08-28,1.75,1.87,1.75,1.85,10924600
2015-08-31,1.82,1.87,1.79,1.81,6516000
2015-09-01,1.77,1.82,1.71,1.71,8470700
2015-09-02,1.75,1.77,1.72,1.77,6306100
2015-09-03,1.76,1.85,1.76,1.79,7154200
2015-09-04,1.76,1.84,1.76,1.82,6725300
2015-09-08,1.85,1.88,1.83,1.88,6009500
2015-09-09,1.9,1.97,1.83,1.85,12612300
2015-09-10,1.84,1.88,1.83,1.84,4290400
2015-09-11,1.88,2.14,1.81,2.01,31010300
2015-09-14,2,2,1.81,1.82,16458500
2015-09-15,1.84,1.87,1.81,1.86,6524400
2015-09-16,1.87,1.9,1.85,1.89,4928300
2015-09-17,1.9,1.94,1.87,1.89,5831600
2015-09-18,1.87,1.92,1.85,1.87,11814000
2015-09-21,1.87,1.9,1.81,1.81,5377800
2015-09-22,1.8,1.84,1.72,1.73,9975200
2015-09-23,1.76,1.78,1.69,1.7,9649200
2015-09-24,1.68,1.73,1.66,1.72,11247700
2015-09-25,1.75,1.75,1.68,1.71,5644600
2015-09-28,1.69,1.7,1.66,1.66,5693100
2015-09-29,1.67,1.69,1.65,1.67,7005300
2015-09-30,1.7,1.72,1.68,1.72,5739500
2015-10-01,1.77,1.77,1.72,1.74,5531700
2015-10-02,1.76,1.83,1.72,1.83,7146100
2015-10-05,1.82,1.87,1.77,1.8,7595600
2015-10-06,1.8,1.86,1.8,1.83,8558400
2015-10-07,1.82,1.87,1.82,1.86,7859200
2015-10-08,1.87,1.95,1.85,1.93,9198700
2015-10-09,1.92,1.96,1.89,1.96,8629100
2015-10-12,1.96,1.96,1.85,1.87,7686600
2015-10-13,1.87,1.94,1.86,1.92,6698400
2015-10-14,1.92,1.96,1.92,1.95,10184300
2015-10-15,1.97,2.06,1.95,1.97,27327100
2015-10-16,2,2,1.89,1.94,21544900
2015-10-19,1.91,2.01,1.91,2.01,10670800
2015-10-20,2,2.03,1.97,2.02,5584200
2015-10-21,2.02,2.12,2.01,2.1,14944100
2015-10-22,2.1,2.16,2.09,2.14,8208400
2015-10-23,2.1,2.21,2.1,2.21,9564200
2015-10-26,2.21,2.21,2.12,2.15,6313500
2015-10-27,2.12,2.16,2.1,2.15,5755600
2015-10-28,2.14,2.2,2.12,2.18,6950600
2015-10-29,2.15,2.18,2.11,2.13,4500400
2015-10-30,2.14,2.15,2.12,2.12,4897100
2015-11-02,2.13,2.19,2.11,2.19,5858700
2015-11-03,2.16,2.29,2.16,2.28,8705800
2015-11-04,2.27,2.3,2.18,2.2,8205300
2015-11-05,2.21,2.24,2.17,2.2,4302200
2015-11-06,2.19,2.21,2.13,2.15,8997100
2015-11-09,2.15,2.18,2.1,2.11,6231200
2015-11-10,2.09,2.1,2.02,2.02,6162200
2015-11-11,2.02,2.09,2.02,2.07,3532100
2015-11-12,2.05,2.07,2,2,3576800
2015-11-13,1.99,2.04,1.94,1.99,5920200
2015-11-16,1.99,2.02,1.95,1.99,4149700
2015-11-17,2.01,2.04,1.97,1.98,5825100
2015-11-18,1.99,2.15,1.98,2.12,9384700
2015-11-19,2.1,2.16,2.09,2.14,4704300
2015-11-20,2.14,2.25,2.13,2.22,10727100
2015-11-23,2.22,2.24,2.18,2.22,4863200
2015-11-24,2.2,2.4,2.17,2.34,15859700
2015-11-25,2.36,2.4,2.31,2.38,6914800
2015-11-27,2.37,2.38,2.32,2.33,2606600
2015-11-30,2.34,2.37,2.25,2.36,9924400
2015-12-01,2.36,2.37,2.31,2.34,5646400
2015-12-02,2.31,2.34,2.23,2.27,7501700
2015-12-03,2.25,2.31,2.2,2.23,7059900
2015-12-04,2.23,2.29,2.21,2.28,4572600
2015-12-07,2.26,2.36,2.21,2.36,8479600
2015-12-08,2.34,2.4,2.25,2.39,9055500
2015-12-09,2.37,2.4,2.32,2.35,8710000
2015-12-10,2.36,2.5,2.33,2.45,13069400
2015-12-11,2.41,2.47,2.36,2.36,11890000
2015-12-14,2.36,2.39,2.3,2.34,7625700
2015-12-15,2.35,2.43,2.32,2.36,7423900
2015-12-16,2.39,2.55,2.37,2.54,19543600
2015-12-17,2.52,2.6,2.52,2.56,11374100
2015-12-18,2.51,2.55,2.42,2.45,17988100
2015-12-21,2.47,2.53,2.43,2.53,6876600
2015-12-22,2.55,2.78,2.54,2.77,24893200
2015-12-23,2.76,2.94,2.75,2.83,30365300
2015-12-24,2.88,3,2.86,2.92,11890900
2015-12-28,2.91,3.02,2.86,3,16050500
2015-12-29,3.04,3.06,2.97,3,15300900
2015-12-30,2.99,3.04,2.93,2.98,10046600
2015-12-31,2.97,3.01,2.87,2.87,11086100
